Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Type,"Reasoning for ""Population Type""",Intervention,Outcome Documentation,"Reasoning for ""Outcome Documentation""",Control Group,"Reasoning for ""Control Group""",Study Design,"Reasoning for ""Study Design""",Temporal Documentation,"Reasoning for ""Temporal Documentation""",subject size,"Reasoning for ""subject size""","Reasoning for ""Intervention""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Medication-related Osteonecrosis of the Jaw: A Review,"Nouf A. AlDhalaan, Asma BaQais, Ahmad Al-Omar",10.7759/cureus.6944,https://doi.org/10.7759/cureus.6944,Cureus,75,2020,no,"The abstract discusses both cancer and non-cancer patients, and is not focused exclusively on adult osteoporosis patients.",no,no,"While MRONJ outcomes are discussed, this is not a primary study documenting specific procedures.",no,"No mention of control groups, as this is a review article, not an interventional study.",no,"This is explicitly a review article, not a RCT, cohort study, or case-control study.",no,"While the abstract mentions that risk can be ""dose-time dependent,"" this is not a primary study documenting temporal relationships.",no,"This is a review article, not a primary study, and no specific subject size is mentioned.","While dental procedures are mentioned, this is a review of MRONJ in general, and no specific intervention study is described.",Exclude,"This review article on medication-related osteonecrosis of the jaw fails to meet the specified screening criteria, particularly lacking focus on Romosozumab, specific patient populations, and primary research design. The manuscript provides a general overview of MRONJ but does not constitute an interventional study with the required methodological and population characteristics. Consequently, it does not align with the predefined screening requirements for inclusion.",0.1
The Prevention of Medication-related Osteonecrosis of the Jaw.,"P. Poxleitner, M. Engelhardt, R. Schmelzeisen, P. Voss",10.3238/arztebl.2017.0063,https://doi.org/10.3238/arztebl.2017.0063,Deutsches Ärzteblatt International,45,2017,no,"The abstract primarily focuses on patients with cancer (multiple myeloma) and bone metastases, though it briefly mentions osteoporosis patients. This is another critical failure as the population must be adults with osteoporosis and no cancer.",yes,yes,"The abstract discusses MRONJ outcomes following dental procedures, particularly tooth extraction.",maybe,"As this is a systematic review, it's not clear if the included studies had control groups.",no,"This is a systematic review of other publications, not a primary research study of the required design types.",maybe,"While the abstract mentions that bisphosphonates can persist in bone for over 15 years, it doesn't clearly document temporal relationships for specific cases.",maybe,"The abstract mentions one case series of over 1200 patients, but this is not the main study being discussed. The main study appears to be a systematic review of other publications, so the subject size is unclear.","The abstract discusses tooth extraction and mentions other dental procedures, though as part of a review rather than primary research.",Exclude,"The systematic review fails to meet critical screening criteria, specifically lacking focus on Romosozumab and primarily discussing cancer patients instead of osteoporosis patients. Multiple key requirements were not satisfied, including intervention type, population characteristics, and study design, rendering the paper unsuitable for inclusion in the systematic review.",0.1
Declining Incidence of Medication-Related Osteonecrosis of the Jaw in Patients With Cancer.,"Ie-Wen Sim, K. Sanders, G. Borromeo, J. Seymour, P. Ebeling",10.1210/jc.2015-1794,https://doi.org/10.1210/jc.2015-1794,Journal of Clinical Endocrinology and Metabolism,52,2015,no,"The study was conducted at a ""specialized cancer center"" and appears to focus on cancer patients, which is explicitly excluded in the criteria.",maybe,yes,The study clearly documents MRONJ outcomes following dental procedures.,maybe,"The study compares before and after implementation of dental intervention, but does not explicitly mention a control group of non-anti-resorptive medication users.",yes,"This appears to be a retrospective cohort study, which meets the criteria.",yes,"The study documents temporal relationships between medication use and MRONJ development, with clear time periods (2003-2013) and before/after intervention analysis.",yes,"The study includes 1,243 patients, which is well above the minimum requirement of 100.","While the study mentions ""active dental intervention,"" it does not specifically detail the types of procedures, such as tooth extraction, implant placement, periodontal surgery, or removable prosthesis fabrication.",Exclude,"The study fails key screening criteria by focusing on cancer patients and not specifying Romosozumab as the anti-resorptive medication. While the research demonstrates a robust sample size and clear documentation of MRONJ outcomes, the population type and medication specificity disqualify it from meeting the systematic review requirements. Critical exclusion factors include the cancer patient population and lack of precise medication identification.",1.4
Clinical considerations for medication-related osteonecrosis of the jaw: a comprehensive literature review,"Mampei Kawahara, S. Kuroshima, T. Sawase",10.1186/s40729-021-00323-0,https://doi.org/10.1186/s40729-021-00323-0,International Journal of Implant Dentistry,67,2021,no,"While the paper mentions osteoporosis patients, it also discusses cancer patients, and is not exclusively focused on adult osteoporosis patients without cancer. Therefore, the paper does not meet the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",no,no,"While MRONJ outcomes are discussed, this is in the context of reviewing other studies, and the paper does not report specific outcomes from original research. Therefore, the paper does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"As a review paper, the paper does not include a control group of non-anti-resorptive medication users. Therefore, the paper does not meet the criterion of including a control group.",no,"This is a literature review, not a primary research study, and therefore does not meet the criterion of having a study design of a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",no,"The paper does not document temporal relationships or medication duration in a study population. Therefore, the paper does not meet the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development and the duration of medication use.",no,"This is a literature review/meta-analysis, not a primary study, and no specific subject size is mentioned. Therefore, the paper does not meet the criterion of having a subject size of more than 100 people.","The paper discusses dental treatment in general but as a review of recommendations, and does not report on specific interventions in a study population. Therefore, the paper does not meet the criterion of having an intervention of invasive dental treatment, including tooth extraction, implant placement, periodontal surgery, other dental surgery, or removable prosthesis fabrication.",Exclude,"This literature review fails to meet multiple screening criteria, including specific intervention type, subject size, population focus, and study design requirements. The paper provides a comprehensive overview of medication-related osteonecrosis of the jaw but does not constitute a primary research study with the specified parameters. Consequently, it would be excluded from a systematic review targeting specific research characteristics.",0.1
Risk of medication-related osteonecrosis of the jaw after dental extractions in patients receiving antiresorptive agents - A retrospective study of 240 patients.,"R. Coropciuc, R. Coopman, M. Garip, E. Gielen, C. Politis, T. Van den Wyngaert, B. Beuselinck",10.1016/j.bone.2023.116722,https://doi.org/10.1016/j.bone.2023.116722,Bone,13,2023,maybe,"While the study includes adult patients with osteoporosis, it also includes patients with bone metastases (cancer). The osteoporosis cohort is separate but not exclusively studied.",yes,yes,"The study clearly documents MRONJ outcomes following dental extractions, including specific stages and healing outcomes.",no,The abstract does not mention a control group of non-anti-resorptive medication users.,yes,"This is a retrospective cohort study, which meets the criteria.",yes,"The study documents temporal relationships, including median drug exposure of 43 months and specific timing of medication use (e.g., ""interval since last administration of at least 3 months"").",yes,"The study includes 240 patients (126 with osteoporosis, 114 with bone metastases), which is well above the 100-person requirement.","The study specifically focuses on dental extractions, which is one of the specified invasive dental treatments.",Include,"The study fails to meet critical screening criteria, specifically lacking confirmation of Romosozumab use and including patients with bone metastases alongside osteoporosis patients. While demonstrating robust methodology with a large sample size and clear documentation of dental extraction outcomes, the absence of a control group and non-specific antiresorptive agent classification prevent systematic review inclusion. The research provides valuable insights into medication-related osteonecrosis of the jaw but does not align with the precise screening requirements.",2.5
Interventions for managing medication-related osteonecrosis of the jaw.,"Natalie H Beth-Tasdogan, B. Mayer, H. Hussein, O. Zolk",10.1002/14651858.CD012432.pub2,https://doi.org/10.1002/14651858.CD012432.pub2,Cochrane Database of Systematic Reviews,197,2017,no,"The paper includes both cancer and non-cancer patients, and is not exclusively focused on adult osteoporosis patients without cancer, which does not meet the population type criterion.",yes,yes,"The paper clearly documents MRONJ outcomes following dental procedures, which meets the outcome documentation criterion.",maybe,"The paper includes control groups in the RCTs, but these are not specifically comparing anti-resorptive medication users vs non-users, so the criterion is only partially met.",no,"The paper is a systematic review of RCTs, which is not a primary study, so it does not meet the study design criterion.",maybe,"While the paper discusses medication use and MRONJ, it does not clearly document the temporal relationships or the duration of medication use, so the criterion is only partially met.",yes,"The paper includes 5 RCTs with 1218 total participants, which clearly meets the >100 subjects requirement.","The paper discusses dental extractions, dentoalveolar surgery, and other dental procedures, which meets the criterion for invasive dental treatment.",Exclude,"The systematic review fails to meet critical screening criteria, specifically using the wrong intervention (bisphosphonates/denosumab instead of Romosozumab) and including cancer patients in the study population. While the paper demonstrates methodological rigor with multiple RCTs and comprehensive outcome documentation, these fundamental deviations from the specified screening requirements necessitate exclusion from the systematic review.",0.1
Medication-related osteonecrosis of the jaw-like lesions in rodents: A comprehensive systematic review and meta-analysis.,"S. Kuroshima, Muneteru Sasaki, H. Murata, T. Sawase",10.1111/ger.12416,https://doi.org/10.1111/ger.12416,Gerodontology,18,2019,no,"The study focuses on rodents, not human patients, so it does not meet the criterion of focusing exclusively on adult patients (≥18 years) with diagnosed osteoporosis who do not have cancer.",no,no,"While MRONJ outcomes are discussed, they are in rodent models, not human patients, so it does not meet the criterion of reporting MRONJ outcomes following specific, documented dental procedures.",no,"While the study likely included controls (as it's a systematic review), it's not relevant as it's in rodents, not human patients.",no,"This is a systematic review and meta-analysis of animal studies, not a primary study of the required design types (randomized controlled trial, prospective/retrospective cohort study, or case-control study).",no,"The abstract does not discuss temporal relationships in human patients, so it does not meet the criterion of clearly documenting both the temporal relationship between medication use and MRONJ development and the duration of medication use.",no,"This is a systematic review of rodent studies, not human subjects, so it does not meet the requirement of having a subject size of more than 100 people.","The abstract does not discuss specific dental procedures, so it does not meet the criterion of having an intervention of invasive dental treatment.",Exclude,"This systematic review of rodent studies fails to meet multiple critical screening criteria, including the requirement for human subjects, Romosozumab intervention, and specific dental treatment outcomes. The research focuses on animal models of medication-related osteonecrosis of the jaw, which fundamentally differs from the desired human clinical study parameters. Consequently, the paper does not qualify for inclusion in the systematic review.",0.1
"Prevalence, Incidence Rate, and Risk Factors of Medication-Related Osteonecrosis of the Jaw in Patients With Osteoporosis and Cancer: A Nationwide Population-Based Study in Japan.","M. Ishimaru, S. Ono, K. Morita, H. Matsui, Y. Hagiwara, H. Yasunaga",10.1016/j.joms.2021.12.007,https://doi.org/10.1016/j.joms.2021.12.007,Journal of oral and maxillofacial surgery,33,2021,maybe,"While the study includes adult patients with osteoporosis (2,664,104), it also includes cancer patients (155,206). The abstract does not specify age requirements, though it is likely these are adults given the context.",maybe,maybe,"While MRONJ outcomes are documented, the specific dental procedures leading to MRONJ are not clearly detailed in the abstract.",no,The abstract does not mention a control group of non-antiresorptive medication users.,yes,"This is a retrospective cohort study using a national database, which meets the criteria.",maybe,"While the study period is mentioned (2015-2018), the abstract does not clearly document the temporal relationship between medication use and MRONJ development or the duration of medication use.",yes,"The study includes 2,819,310 patients, far exceeding the minimum requirement of 100.","The abstract mentions ""tooth extraction"" and ""poor oral conditions"" as risk factors, but does not clearly specify that the study focuses on patients who underwent these procedures. It is more of an observational study of general antiresorptive drug users.",Include,"The study fails to meet critical screening criteria, particularly the requirement for Romosozumab as the specific antiresorptive medication. While the research includes a large patient population and uses a retrospective cohort design, it lacks specificity in dental intervention documentation and includes cancer patients, which deviates from the targeted review parameters. The broad approach to antiresorptive drugs and mixed patient population prevents alignment with the precise screening requirements.",2.5
Collagen telopeptide (serum CTX) and its relationship with the size and number of lesions in osteonecrosis of the jaws in cancer patients on intravenous bisphosphonates.,"Yong-Dae Kwon, D. Kim",10.1016/j.oraloncology.2008.11.010,https://doi.org/10.1016/j.oraloncology.2008.11.010,Oral Oncology,63,2009,maybe,"The study focuses on osteoporotic patients with a mean age of 69.7 years (adults), but it's unclear if cancer patients were excluded.",yes,yes,The study reports MRONJ outcomes following specific dental procedures.,maybe,The abstract doesn't mention whether there was a control group of non-anti-resorptive medication users.,maybe,"This is actually a systematic review of other studies, not a primary research study of the types specified in the criteria.",yes,The study documents duration of medication use (mean 50.4 ± 19 months) and temporal relationship with MRONJ development.,yes,"The study includes 680 MRONJ cases, well above the 100-person threshold.","The abstract mentions dental procedures including ""extraction"" and ""dentoalveolar surgery"" as preceding events.",Exclude,"The systematic review fails to meet key screening criteria, particularly the requirement for Romosozumab as the specific anti-resorptive medication and the need for a primary research study design. While the study provides valuable insights into medication-related osteonecrosis of the jaw, it does not align with the specified research parameters, rendering it unsuitable for inclusion based on the established screening criteria.",1.4
What is the effect of anti-resorptive drugs (ARDs) on the development of medication-related osteonecrosis of the jaw (MRONJ) in osteoporosis patients: A systematic review.,"Suad Aljohani, Riham Fliefel, J. Ihbe, J. Kühnisch, M. Ehrenfeld, S. Otto",10.1016/j.jcms.2017.05.028,https://doi.org/10.1016/j.jcms.2017.05.028,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,96,2017,maybe,"The study focuses on osteoporotic patients with mean age 69.7 years (adults), but it doesn't explicitly state whether cancer patients were excluded.",yes,yes,The study reports MRONJ outcomes following specific dental procedures (extractions and dentoalveolar surgery).,no,The abstract doesn't mention a control group of non-anti-resorptive medication users.,maybe,"This is a systematic review of 44 studies, but the design of the included studies isn't specified.",yes,The study documents duration of medication use (mean 50.4 ± 19 months) and temporal relationship with MRONJ development.,yes,"The study includes 680 MRONJ cases, well above the 100-person threshold.","The abstract mentions extraction and dentoalveolar surgery as preceding events, indicating the study includes invasive dental treatment.",Exclude,"The systematic review fails to meet the specific screening criteria, particularly the requirement for Romosozumab as the intervention medication. While the study provides comprehensive insights into medication-related osteonecrosis of the jaw in osteoporosis patients, it does not align with the precise research parameters. Multiple screening criteria remain unclear or unmet, rendering the study unsuitable for the intended research focus.",1.4
