Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population - Age and Diagnosis,"Reasoning for ""Population - Age and Diagnosis""",Population - Cancer Status,"Reasoning for ""Population - Cancer Status""",Intervention,"Reasoning for ""Intervention""",Control Group,"Reasoning for ""Control Group""",Dental Procedures,"Reasoning for ""Dental Procedures""",MRONJ Definition,"Reasoning for ""MRONJ Definition""",Study Design,"Reasoning for ""Study Design""",Subject Size,"Reasoning for ""Subject Size""",follow up period,"Reasoning for ""follow up period""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Relevant factors for treatment outcome and time to healing in medication-related osteonecrosis of the jaws - A retrospective cohort study.,"Ana Silva Martins, J. A. Correia, F. Salvado, C. Caldas, Nuno R Santos, A. Capelo, Paulo Palmela",10.1016/j.jcms.2017.07.014,https://doi.org/10.1016/j.jcms.2017.07.014,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,30,2017,maybe,"The abstract does not specify patient age range or confirm that all patients had a primary diagnosis of osteoporosis, so it is uncertain whether the study exclusively includes adult patients (≥18 years) with a primary diagnosis of osteoporosis.",maybe,"The abstract mentions ""primary disease"" as a factor but does not specify whether cancer patients were included or excluded, so it is uncertain whether all study participants are free from cancer or malignancies.",maybe,"The abstract mentions ""antiresorptive medication"" but does not specifically state these are parenterally-administered bisphosphonates for osteoporosis treatment. It only mentions ""route of administration"" as a factor, so it is uncertain whether the study examines parenterally-administered bisphosphonate medications for osteoporosis treatment.",no,"The abstract does not mention a control group, so it fails to meet the criteria for including a control group of patients not receiving anti-resorptive medications.",maybe,"The abstract does not explicitly mention specific dental procedures leading to MRONJ, so it is uncertain whether the study reports MRONJ incidence following documented invasive dental procedures.",maybe,"While MRONJ is the focus, the abstract does not explicitly state the diagnostic criteria used, so it is uncertain whether the study clearly defines and uses established MRONJ diagnostic criteria.",yes,"The abstract explicitly states it's a ""retrospective longitudinal cohort study,"" which meets the criteria for study design.",no,"The study includes 77 patients, which falls below the required minimum of 100 patients.",maybe,"The study period is 2004-2016 (12 years), and they track healing time, suggesting adequate follow-up. However, the specific minimum follow-up period is not explicitly stated, so it is uncertain whether the study includes a follow-up period of at least 6 months.",Include,"The study fails to meet key screening criteria, specifically the required sample size of 100 patients and the inclusion of a control group. Multiple critical screening elements remain uncertain, including specific dental procedures, intervention details, and population characteristics. These limitations prevent the study from satisfying the comprehensive screening requirements.",2.7
MRONJ in patients treated with bisphosphonates or other agents: a 5-year retrospective study,"F. Mazzoni, C. Arena, N. Testa, V. Zavaglia, A. Nori, A. Santarelli",10.3389/conf.fphys.2019.27.00029,https://doi.org/10.3389/conf.fphys.2019.27.00029,Frontiers in Physiology,0,2019,no,"While the mean age is 66.7 years (range 43-86), the study includes both osteoporotic and oncologic patients, not exclusively osteoporosis patients.",no,"The study explicitly includes patients with bone metastases, meaning not all participants are free from cancer.",maybe,"The study examines bisphosphonates and other anti-resorptive medications, but includes patients treated for both osteoporosis and bone metastases. It's not exclusively focused on parenterally-administered bisphosphonates for osteoporosis.",no,The abstract does not mention a control group of patients not receiving anti-resorptive medications.,maybe,"The study mentions dental procedures as triggers for MRONJ, specifically noting ""residual roots"" as a predisposing factor. However, it does not clearly document specific invasive dental procedures.",yes,"The study clearly defines MRONJ using established criteria, including ""exposed bone or bone that can be probed through a fistula in the maxillofacial region that persists for more than 8 weeks.""",yes,"The abstract describes this as a ""retrospective study,"" which meets the criteria for acceptable study designs.",no,"The study includes 53 patients, which falls below the required minimum of 100 patients.",yes,"The study mentions follow-up ""at days 10, 30, and every 2 months up to 1 year,"" which meets the 6-month minimum requirement.",Include,"The study falls short of multiple screening criteria, including insufficient patient sample size (53 patients), mixed patient population with cancer patients, and lack of a control group. While the research provides insights into medication-related osteonecrosis of the jaw, it does not meet the comprehensive requirements for systematic review inclusion. The retrospective design and mixed intervention groups further complicate its alignment with the specified screening criteria.",2.7
A multicenter observational study on Medication-Related Osteonecrosis of the Jaw (MRONJ) in advanced cancer and myeloma patients of a cancer network in North-Western Italy,"V. Fusco, M. Cabras, F. Erovigni, Alessandro Dell’Acqua, P. Arduino, M. Pentenero, P. Appendino, L. Basano, F. Ferrera, A. Fasciolo, Majlinda Caka, M. Migliario, S. Franchi, A. Gambino",10.4317/medoral.24318,https://doi.org/10.4317/medoral.24318,Medicina Oral,21,2020,no,"The study population consists of cancer/myeloma patients, not osteoporosis patients. This is a clear violation of the inclusion criteria.",no,"The study specifically focuses on cancer patients, which directly contradicts this criterion.",no,"The study primarily focuses on zoledronic acid and denosumab in cancer/myeloma patients, not parenterally-administered bisphosphonates for osteoporosis treatment.",no,No control group of patients not receiving anti-resorptive medications is mentioned.,no,"The abstract does not specifically document invasive dental procedures leading to MRONJ. While MRONJ cases are reported, the dental triggers are not detailed.",maybe,"While MRONJ is the focus, the abstract doesn't explicitly state the diagnostic criteria used.",yes,"The study is a retrospective-prospective cohort study, which meets the criteria.",yes,"The study includes 459 MRONJ cases, well exceeding the 100 patient minimum.",yes,"The study spans 9 years (2009-2018), exceeding the 6-month minimum requirement.",Exclude,"The study focuses on MRONJ in cancer patients, which fundamentally differs from the required osteoporosis patient population and intervention criteria. Multiple screening requirements were not met, including patient diagnosis, intervention type, and control group composition. The research, while methodologically sound, does not align with the systematic review's specific inclusion parameters.",0.1
Risk factors of medication-related osteonecrosis of the jaw: a retrospective study in a Turkish subpopulation,"O. Şahin, O. Odabaşı, Toghrul Aliyev, B. Tatar",10.5125/jkaoms.2019.45.2.108,https://doi.org/10.5125/jkaoms.2019.45.2.108,Journal of the Korean Association of Oral and Maxillofacial Surgeons,12,2019,maybe,"While Group II includes osteoporosis patients, Group I includes cancer patients, and the age criteria is not explicitly stated.",no,"The study explicitly includes cancer patients (Group I), which violates this criterion.",maybe,"The study includes both anti-neoplastic and anti-osteoporotic bisphosphonates, but it is unclear if they are parenterally administered.",no,No control group is mentioned in the abstract.,no,"The abstract does not explicitly mention specific dental procedures leading to MRONJ, so it is unclear if the study reports MRONJ incidence following documented invasive dental procedures.",yes,"The study uses the American Association of Oral and Maxillofacial Surgeons staging system, indicating established diagnostic criteria for MRONJ.",yes,"The study appears to be a retrospective study based on medical records, which would qualify as a retrospective cohort study.",no,"The study includes 52 patients, which falls below the required minimum of 100 patients.",maybe,The abstract does not mention any follow-up period.,Include,"The study fails to meet multiple critical screening criteria, including insufficient sample size, inclusion of cancer patients, and lack of a control group. While demonstrating some methodological strengths like using established MRONJ diagnostic criteria, the fundamental deviations from the required parameters render the study non-compliant with the specified screening requirements.",2.5
Case series: Osteonecrosis of the jaw related to denosumab preceded by bisphosphonates in cancer and osteoporotic patients,"D. Falinda, N. Malden",10.1016/j.adoms.2022.100258,https://doi.org/10.1016/j.adoms.2022.100258,Advances in Oral and Maxillofacial Surgery,1,2022,no,"The study includes both cancer and osteoporotic patients, not exclusively osteoporosis patients as required.",no,"The study explicitly includes cancer patients, violating this criterion.",no,"The study examines denosumab (DSB) preceded by bisphosphonates, not parenterally-administered bisphosphonates alone. This is a different intervention than specified in the criteria.",no,No control group is mentioned in the abstract.,yes,"The study explicitly mentions dental extraction as a triggering factor for MRONJ, with specific timing noted (8 weeks, 12 weeks, and 20 weeks after extraction).",yes,The abstract explicitly states that MRONJ staging follows AAOMS recommendations and uses ASBMR data collection tools.,yes,"The study is described as a ""retrospective case series,"" which falls within the acceptable study designs.",no,"The study only includes 7 patients, which falls well below the required minimum of 100 patients.",maybe,"The abstract doesn't explicitly state the follow-up period. While it mentions a ""one-year period"" for data collection, this doesn't necessarily indicate the follow-up duration for individual patients.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, mixed patient population, and different intervention type. Specifically, the research includes only 7 patients, involves both cancer and osteoporotic patients, and examines denosumab with bisphosphonates rather than parenteral bisphosphonates alone. These deviations significantly compromise the study's alignment with the predefined screening requirements.",1.4
Increased incidence of osteonecrosis of the jaw after tooth extraction in patients treated with bisphosphonates: a cohort study.,"T. Yamazaki, M. Yamori, T. Ishizaki, K. Asai, K. Goto, Katsu Takahashi, T. Nakayama, K. Bessho",10.1016/j.ijom.2012.06.020,https://doi.org/10.1016/j.ijom.2012.06.020,International Journal of Oral & Maxillofacial Surgery,165,2012,maybe,"While the study mentions patients aged 65 years or older, it doesn't specify that all patients were adults (≥18 years) or that they had a primary diagnosis of osteoporosis. This is a significant uncertainty.",maybe,The abstract doesn't mention whether patients with cancer were excluded. This is another significant uncertainty.,yes,"The study examines bisphosphonates, including intravenous administration, though it doesn't specifically state these are for osteoporosis treatment.",yes,"The study clearly includes a control group (3,090 patients without BP administration).",yes,"The study specifically focuses on tooth extraction, which is one of the listed invasive dental procedures. This criterion is clearly met.",maybe,"While the study discusses ONJ/BIONJ, it doesn't explicitly state which diagnostic criteria were used. This creates some uncertainty.",yes,"The abstract explicitly states this is a cohort study, which meets the criteria.",yes,"The study includes 3,216 patients (126 with BP and 3,090 without), well exceeding the minimum requirement of 100 patients.",maybe,The abstract doesn't explicitly mention the follow-up period. This is a significant uncertainty.,Include,"A cohort study examining bisphosphonate-related osteonecrosis of the jaw following tooth extraction, involving 3,216 patients with a clear control group and intravenous bisphosphonate administration. While meeting several key screening criteria, significant uncertainties exist regarding follow-up period, diagnostic criteria, patient age range, and cancer status, which could impact study inclusion. The research provides valuable insights into bisphosphonate-related jaw complications but lacks complete clarity on some critical screening parameters.",3.5
Anti-resorptive Drugs and their Impact on Maxillofacial Bone among Cancer Patients.,"F. Borumandi, T. Aghaloo, L. Cascarini, A. Gaggl, K. Fasanmade",10.2174/1871520615666150325232857,https://doi.org/10.2174/1871520615666150325232857,Anti-Cancer Agents in Medicinal Chemistry,13,2015,no,"The study focuses on cancer patients, not osteoporosis patients.",no,"The study specifically focuses on cancer patients, which directly contradicts this criterion.",no,"While the abstract discusses anti-resorptive drugs (ARDs) including bisphosphonates, it focuses on cancer patients rather than osteoporosis treatment.",no,No control group is mentioned in the abstract.,no,"The abstract does not specifically document or report MRONJ incidence following specific dental procedures. It only mentions ""non healing freely exposed bone in the oral cavity"" without detailing the procedures that led to MRONJ.",no,"While MRONJ is discussed, the abstract does not clearly define or mention using established diagnostic criteria.",no,"This appears to be a review article (""aims to give an overview"") rather than a primary research study with any of the specified designs.",maybe,The abstract does not mention any specific number of patients or study size.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract fails multiple critical screening criteria, primarily by focusing on cancer patients receiving anti-resorptive drugs rather than osteoporosis patients. Key deficiencies include lack of specific dental procedure documentation, absence of a control group, and no clear definition of MRONJ diagnostic criteria. The review article's scope fundamentally differs from the systematic review's targeted population and research parameters.",0.1
Medication-related osteonecrosis of the jaw: a preliminary retrospective study of 130 patients with multiple myeloma,"W. Choi, Jae-Il Lee, H. Yoon, C. Min, Sang-Hwa Lee",10.1186/s40902-016-0099-4,https://doi.org/10.1186/s40902-016-0099-4,Maxillofacial plastic and reconstructive surgery,34,2017,no,"The study population consists of multiple myeloma patients, not osteoporosis patients. While the mean age (62.2 years) meets the adult requirement, the primary diagnosis criterion is not met.",no,"The study specifically focuses on multiple myeloma patients, who have cancer, which directly contradicts the requirement for cancer-free participants.",no,"The study examines bisphosphonates in multiple myeloma patients, not for osteoporosis treatment, which is a critical mismatch with the inclusion criteria.",no,The abstract doesn't mention a control group of patients not receiving anti-resorptive medications.,yes,"The study mentions dental procedures, specifically tooth extraction, and discusses dental evaluations. However, it's not exclusively focused on invasive procedures.",yes,"While not explicitly stating the diagnostic criteria, the study appears to use established staging and treatment strategies for MRONJ.",yes,"The study is described as a retrospective review, which meets the criteria.",yes,"The study includes 130 patients, which exceeds the minimum requirement of 100.",maybe,"The abstract mentions a ""median BP administration time of 19 months"" but doesn't explicitly state the follow-up period, creating some uncertainty.",Exclude,"The study focuses on multiple myeloma patients receiving bisphosphonates, which fundamentally conflicts with the screening criteria requiring an osteoporosis patient population. Critical disqualifying factors include the cancer patient status, wrong patient population, and absence of a control group, rendering the study ineligible for inclusion in the systematic review.",0.1
Medication Related Osteonecrosis of the Jaw: 2015 Position Statement of the Korean Society for Bone and Mineral Research and the Korean Association of Oral and Maxillofacial Surgeons,"K. M. Kim, Y. Rhee, Yong-Dae Kwon, T. Kwon, J. K. Lee, D. Kim",10.11005/jbm.2015.22.4.151,https://doi.org/10.11005/jbm.2015.22.4.151,Journal of Bone Metabolism,78,2015,no,"While osteoporosis is mentioned, the paper discusses multiple conditions and does not focus exclusively on osteoporosis patients.",no,"The abstract explicitly mentions cancer patients (malignant bone metastases, multiple myeloma), indicating the paper is not restricted to cancer-free patients.",maybe,"While the abstract discusses bisphosphonates for osteoporosis treatment, it also mentions other uses (malignant bone metastases, multiple myeloma, Paget's disease) and other medications (denosumab, bevacizumab).",no,No control group is mentioned as this is not a primary research study.,no,The abstract does not specifically document or report MRONJ incidence following specific dental procedures. It is a general discussion of MRONJ guidelines and definitions.,yes,The abstract does discuss MRONJ definitions and mentions the ASBMR and AAOMS statements on diagnostic criteria.,no,"This appears to be a guideline development paper or review, not a primary research study with any of the specified study designs.",maybe,The abstract does not mention any specific study population size.,maybe,No follow-up period is mentioned in the abstract.,Exclude,"The abstract represents a guideline development paper discussing medication-related osteonecrosis of the jaw (MRONJ), which fails to meet multiple critical screening criteria including specific dental procedure documentation, study design requirements, and population specifications. While addressing MRONJ definitions, the text lacks the structured research elements needed for inclusion, such as a defined patient population, control group, and follow-up period. The document appears more focused on establishing clinical guidelines rather than presenting a primary research study.",1.4
Platelet concentrates as an adjunctive therapy for medication-related osteonecrosis of the Jaw: A systematic review and meta-analysis,"M. Fabbro, S. Taschieri, F. Goker",10.4103/GFSC.GFSC_19_18,https://doi.org/10.4103/GFSC.GFSC_19_18,-,6,2018,no,The abstract doesn't specify patient age or primary diagnosis of osteoporosis. It appears to include patients with various conditions requiring antiresorptive therapy.,maybe,No information is provided about the cancer status of participants.,no,"The abstract refers to ""antiresorptive therapy"" but does not specifically focus on parenterally-administered bisphosphonates for osteoporosis. It appears to include various antiresorptive medications.",no,"The abstract mentions ""control"" in the context of comparing APC treatment, but this isn't the type of control group specified in the criteria (patients not receiving anti-resorptive medications).",no,"The abstract mentions tooth extraction and ""oral surgery procedures"" but does not specifically document all the required invasive dental procedures, such as implant placement, periodontal surgery, or removable prosthesis. The paper is a systematic review of other studies rather than a primary study of procedures.",maybe,"While MRONJ is defined in the abstract, it's not clear if the included studies used established diagnostic criteria.",no,"This is a systematic review, not a primary study of the required design types (randomized controlled trial, prospective/retrospective cohort study, or case-control study).",no,"The review includes 946 patients total, but this is across multiple studies, not a single study. The minimum inclusion was ""at least three patients,"" which does not meet the requirement of exceeding 100 patients.",yes,"The abstract mentions ""3 to 94 months"" follow-up, which meets the 6-month minimum requirement.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific dental procedure documentation, subject size requirements, and precise intervention specifications. While the study provides insights into medication-related osteonecrosis of the jaw, it does not align with the targeted research parameters for osteoporosis patients receiving parenteral bisphosphonates. The broad scope and methodological differences prevent the study from satisfying the predefined screening requirements.",1.4
Microbial population changes in patients with medication-related osteonecrosis of the jaw treated with systemic antibiotics.,"L. De Bruyn, R. Coropciuc, W. Coucke, C. Politis",10.1016/j.oooo.2017.11.022,https://doi.org/10.1016/j.oooo.2017.11.022,"Oral surgery, oral medicine, oral pathology and oral radiology",20,2017,maybe,"The age range (55-88) meets the adult requirement, but the primary diagnosis isn't specified as osteoporosis.",maybe,No information is provided about cancer status of participants.,maybe,"The abstract does not specify whether the MRONJ was caused by parenterally-administered bisphosphonates. It only mentions ""medication-related"" osteonecrosis.",no,"The study includes a control group of 29 orally healthy patients, but these aren't patients not receiving anti-resorptive medications.",no,"The abstract does not explicitly mention which dental procedures led to MRONJ. While it studies MRONJ patients, it focuses on bacterial populations rather than the preceding dental procedures.",maybe,"While MRONJ is mentioned, the abstract does not provide the specific diagnostic criteria used.",maybe,"This appears to be a prospective observational study comparing bacterial populations, but it's not clearly stated if it's a cohort or case-control study.",no,"The study includes 38 MRONJ patients, which is below the required minimum of 100 patients.",no,The abstract does not mention any follow-up period. It appears to be a cross-sectional study of bacterial populations.,Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, lack of clear documentation of dental procedures, and absence of a specified follow-up period. Significant uncertainties exist regarding intervention type, study design, MRONJ diagnostic criteria, and patient population characteristics. These deficiencies substantially reduce the study's potential for inclusion in the review.",1.4
Implications in dental treatment during the use of antiresorptive drugs - a literature review,"Aleksandra Dziewulska, Weronika Kiełt, Julia Kozłowska, Gabriela Broniec, Barbara Wajdowicz, Aleksandra Kudła, Rozalia Czapiewska, Aleksandra Wróbel, Laura Pacek, Klaudia Kowalska",10.12775/jehs.2024.69.55356,https://doi.org/10.12775/jehs.2024.69.55356,"Journal of Education, Health and Sport",0,2024,no,The abstract does not specify age restrictions or confirm that only osteoporosis patients were included.,no,"The abstract mentions ""metastatic bone disease"" as one of the conditions treated, suggesting the study may include cancer patients.",maybe,"The abstract mentions bisphosphonates and denosumab, but does not specify if they are parenterally administered or specifically for osteoporosis treatment.",no,The abstract does not mention any control groups.,maybe,"The abstract mentions ""invasive dental procedures"" but does not specifically document which procedures were studied, so it is too general to confirm if this criterion is met.",no,"While MRONJ is mentioned, the abstract does not indicate whether established diagnostic criteria were used.",no,This appears to be a literature review/synthesis rather than a primary research study with any of the specified designs.,no,"The abstract does not mention any patient numbers or study size, so there is no information provided about the subject size.",no,No information about the follow-up period is provided in the abstract.,Exclude,"The abstract represents a literature review that fails to meet multiple critical screening criteria, including lack of specific dental procedure documentation, undefined study design, and inclusion of cancer patients. Key methodological details are absent, such as patient numbers, follow-up period, and precise intervention characteristics, rendering the study non-compliant with the established screening requirements.",0.1
Medication-Related Osteonecrosis of the Jaw in Women with Breast Cancer: A Narrative Review,"Alina Čebatariūnienė, Niyosha Rasekhi",10.18103/mra.v12i12.6194,https://doi.org/10.18103/mra.v12i12.6194,Medical Research Archives,0,2024,no,"The study focuses on breast cancer patients, not osteoporosis patients.",no,"The study specifically focuses on breast cancer patients, which violates this criterion.",no,"The abstract discusses bisphosphonates and Denosumab, but specifically in the context of breast cancer treatment, not osteoporosis.",no,No mention of a control group in the abstract.,no,"The abstract does not specifically document invasive dental procedures like tooth extraction, implant placement, periodontal surgery, oral surgery, or removable prosthesis. While it mentions dental care and protocols, it does not focus on these specific procedures.",maybe,"While MRONJ is discussed, the abstract does not explicitly state that it uses established diagnostic criteria.",no,"This appears to be a review article rather than a primary research study (RCT, cohort, or case-control).",maybe,The abstract does not mention any specific patient numbers or study size.,maybe,No specific follow-up period is mentioned in the abstract.,Exclude,"The abstract describes a review of medication-related osteonecrosis of the jaw in breast cancer patients, which fundamentally differs from the required osteoporosis-focused research criteria. Multiple screening requirements are not met, including study design, population characteristics, and specific intervention parameters. The paper's focus on breast cancer patients and lack of primary research methodology disqualifies it from meeting the systematic review's screening criteria.",0.1
Analysis of medication-related osteonecrosis of the jaw with bone SPECT/CT: relationship between patient characteristics and maximum standardized uptake value.,"Ruri Ogawa, I. Ogura",10.1259/dmfr.20200516,https://doi.org/10.1259/dmfr.20200516,Dento maxillo facial radiology,16,2021,no,"The study includes both osteoporosis patients and cancer patients (lung, breast, and rectal cancer), which violates the requirement for exclusively osteoporosis patients.",no,"The study explicitly includes cancer patients (14 out of 48 patients), which directly violates this criterion.",maybe,"The study mentions denosumab and minodronate, which are parenterally-administered bisphosphonates, but also includes patients on other medications. The focus isn't exclusively on bisphosphonates for osteoporosis.",no,No control group is mentioned in the abstract.,no,"The abstract does not specify which dental procedures led to MRONJ. While it's a study about MRONJ, the specific dental interventions are not documented.",maybe,"While the study uses staging of MRONJ (mentions Stage 2 and Stage 3), it doesn't explicitly state which diagnostic criteria were used.",yes,"The study is described as ""prospective,"" which meets the criteria for acceptable study designs.",no,"The study includes only 48 patients (34 osteoporosis, 14 cancer patients), which is well below the required 100 patients.",maybe,The abstract does not mention any follow-up period.,Exclude,"The study fails multiple critical screening criteria, including insufficient sample size, inclusion of cancer patients, lack of a control group, and absence of specific dental procedure documentation. Mixed patient populations and unclear diagnostic criteria further compromise the study's alignment with the predefined screening requirements. These significant deviations render the research non-compliant with the established screening standards.",1.4
Risk factors for medication-related osteonecrosis of the jaws in menopausal women,"Jocarla Campos Serafim, Gustavo Azevedo Pitol, Ester Victorino Coser, B. Albergaria, S. C. Kano, T. Velloso",10.20396/bjos.v23i00.8668457,https://doi.org/10.20396/bjos.v23i00.8668457,Brazilian Journal of Oral Sciences,0,2024,maybe,"While the study included patients with osteoporosis, it also included patients with osteopenia, and age criteria were not specified.",no,No information was provided about the cancer status of the participants.,no,"The study specifically mentioned oral bisphosphonates (alendronate), not parenterally-administered bisphosphonates as required.",no,No control group was mentioned; all patients were using bisphosphonates.,yes,"The study reported on tooth extraction and periodontal disease as risk factors, indicating that it documented invasive dental procedures. However, it was not clear if these procedures were specifically studied as outcomes.",no,The abstract did not explicitly state the diagnostic criteria used for MRONJ.,no,"While the study appears to be an observational study, the exact design (retrospective/prospective cohort or case-control) was not clearly stated.",no,"The study only included 50 patients, which falls well below the required 100 patients.",no,"The abstract did not mention any follow-up period, so this criterion could not be evaluated.",Exclude,"The study fails to meet multiple critical screening criteria, including insufficient sample size, use of oral instead of parenteral bisphosphonates, and lack of a control group. Significant methodological limitations prevent the study from qualifying for systematic review, particularly the small patient population of 50 and mixed diagnostic group of osteoporosis and osteopenia.",1.4
Major considerations of maxillary/mandible osteonecrosis caused by bisphosphonates in the dental implant scenario: a systematic review,"Nathalia Silva Tamarindo, Luiza Beran Gubolin, Victoria Luisa Lopes Bordon, Andreia Borges Scriboni",10.54448/mdnt24s408,https://doi.org/10.54448/mdnt24s408,MedNEXT Journal of Medical and Health Sciences,0,2024,no,The abstract mentions osteoporosis patients but does not specify age restrictions or confirm exclusive focus on osteoporosis patients.,no,No information about cancer status of participants is provided.,no,The abstract mentions bisphosphonates (specifically alendronate sodium) but does not clearly specify parenteral administration. It appears to be discussing bisphosphonates in general.,no,No mention of control groups in the included studies.,no,The abstract mentions dental implants but does not specifically report MRONJ incidence following documented invasive dental procedures. The paper is a systematic review of existing literature rather than a primary study reporting specific procedure outcomes.,no,"While MRONJ is mentioned, the abstract does not indicate whether the included studies used established diagnostic criteria.",no,"This is a systematic review, not a primary research study of the required designs (RCT, cohort, or case-control).",no,"The abstract does not specify the number of patients in the included studies. As a systematic review, it includes 30 studies, but individual study sizes are not mentioned.",no,No specific follow-up period is mentioned in the abstract.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including lack of specific MRONJ incidence reporting, undefined follow-up periods, and absence of clear diagnostic criteria. As a literature review rather than a primary research study, it does not provide the detailed clinical evidence required by the screening protocol. The paper's broad approach to bisphosphonate use in osteoporosis patients prevents it from satisfying the precise methodological requirements.",1.4
Clinical and radiologic treatment outcomes of implant presence tirggered-MRONJ: Systematic review of literature.,"M. Nisi, Stefano Gennai, Filippo Graziani, Antonio Barone, R. Izzetti",10.1111/odi.15066,https://doi.org/10.1111/odi.15066,Oral Diseases,1,2024,no,"The study includes both osteoporosis and oncologic patients, failing to meet the criterion of exclusively including osteoporosis patients.",no,"30% of the study population had oncologic disease, explicitly failing this criterion.",no,"The study includes patients treated with antiresorptive drugs, but only 70% were treated for osteoporosis, while 30% were treated for oncologic disease. This doesn't meet the criterion of exclusively examining parenterally-administered bisphosphonates for osteoporosis.",no,No control group is mentioned in the abstract.,no,"The study focuses on peri-implantitis and dental implants, which is a specific dental procedure. However, it's a systematic review of other studies rather than a primary study reporting MRONJ incidence following procedures.",maybe,"While the study discusses MRONJ characteristics (pain, bone exposure, suppuration), it doesn't explicitly state using established diagnostic criteria.",no,"This is a systematic review, not a primary study with one of the specified study designs.",yes,"The review includes 111 patients total, which meets the minimum requirement of 100 patients.",yes,"The abstract mentions MRONJ developed ""on average 46.5 ± 33.2 months following implant placement,"" which exceeds the 6-month requirement.",Exclude,"The systematic review fails to meet multiple screening criteria, including study design, population characteristics, and intervention specifics. While the study includes a sufficient patient sample and adequate follow-up period, it deviates from the required parameters by including oncologic patients, lacking a control group, and not exclusively focusing on osteoporosis treatment. The mixed patient population and review methodology significantly compromise alignment with the predefined screening requirements.",1.4
Antiresorptive drug-related changes of the mandibular bone densitiy in medication-related osteonecrosis of the jaw patients.,"N. Heim, W. Götz, F. Kramer, A. Faron",10.1259/dmfr.20190132,https://doi.org/10.1259/dmfr.20190132,Dento maxillo facial radiology,18,2019,maybe,The abstract does not specify patient age range or whether they exclusively had osteoporosis as their primary diagnosis.,maybe,No information is provided about cancer status of participants.,maybe,"The study examines both bisphosphonates and denosumab, but does not specify if the bisphosphonates were parenterally administered for osteoporosis treatment.",yes,"The study includes a reference group of 40 patients, meeting this criterion.",no,"The abstract does not explicitly mention specific dental procedures. While it studies MRONJ, it focuses on bone density measurements rather than documenting specific dental interventions.",maybe,"While MRONJ is the focus, the abstract does not explicitly state the diagnostic criteria used.",yes,"The study appears to be a case-control study (61 MRONJ patients vs 40 reference group), which meets this criterion.",yes,"The study includes 101 patients (61 with MRONJ + 40 reference group), meeting the minimum requirement of 100 patients.",no,The abstract does not mention any follow-up period. It appears to be a cross-sectional study of CT scans rather than a longitudinal study.,Include,"The study partially meets screening criteria with a sufficient sample size and appropriate study design, but lacks critical details about dental procedures, follow-up period, and patient demographics. Multiple key screening requirements remain unaddressed or unclear, including specific intervention details, MRONJ diagnostic criteria, and patient cancer status. The research appears more focused on bone density measurements than the systematic review's targeted parameters.",2.7
Reporting Criteria for Clinical Trials on Medication-Related Osteonecrosis of the Jaw (MRONJ): A Review and Recommendations,"Camille Gaudet, Stéphane Odet, C. Meyer, B. Chatelain, E. Weber, A. Parmentier, S. Derruau, S. Laurence, C. Mauprivez, Esteban Brenet, H. Kerdjoudj, M. Fénelon, J. Fricain, N. Zwetyenga, D. Hoarau, R. Curien, É. Gérard, A. Louvrier, F. Gindraux",10.3390/cells11244097,https://doi.org/10.3390/cells11244097,Cells,5,2022,no,The abstract does not specify the age range or primary diagnosis of osteoporosis.,no,No information about cancer status is provided.,maybe,"While the abstract mentions anti-resorptive agents, it does not specifically focus on parenterally-administered bisphosphonates for osteoporosis treatment.",no,No control group is mentioned as this is not a primary study.,no,The abstract does not specifically mention any dental procedures. It appears to be a review/protocol development paper rather than a primary study reporting MRONJ incidence after specific procedures.,no,"The abstract mentions that there is a ""lack of consensus"" and missing data regarding MRONJ definitions and staging.",no,"This is actually a review article and protocol development paper, not a primary study of any of the specified designs.",no,The abstract does not mention any specific subject size as this is not a primary study.,no,No follow-up period is mentioned as this is not a primary study.,Exclude,"This review article and protocol development paper fails to meet multiple screening criteria, including specific dental procedures, subject size, follow-up period, and study design. The abstract lacks primary research data and does not provide clear information about patient populations, interventions, or MRONJ diagnostic criteria. Consequently, the paper does not qualify for inclusion based on the established screening requirements.",0.1
