Title,Authors,DOI,DOI link,Venue,Citation count,Year,"population, indication","Reasoning for ""population, indication""",MRONJ latency,"Reasoning for ""MRONJ latency""",Control Group,"Reasoning for ""Control Group""",Procedure and Outcome,"Reasoning for ""Procedure and Outcome""",Study Design,"Reasoning for ""Study Design""",Outcome Documentation,"Reasoning for ""Outcome Documentation""","population, age","Reasoning for ""population, age""",subject size,"Reasoning for ""subject size""",intervention type,"Reasoning for ""intervention type""",diagnostic standard for MRONJ,"Reasoning for ""diagnostic standard for MRONJ""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Incidence and risk factors for medication‐related osteonecrosis after tooth extraction in cancer patients—A systematic review,"Nurda Schwech, J. Nilsson, P. Gabre",10.1002/cre2.698,https://doi.org/10.1002/cre2.698,Clinical and Experimental Dental Research,20,2022,no,"The abstract specifically mentions ""cancer patients,"" which explicitly violates the criterion that excludes cancer patients. This is a critical failure.",no,"The abstract does not mention documenting the time intervals between the start of medication, dental procedure, and MRONJ incidence, so no points are added for this criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points are added for this criterion.",yes,"The abstract does mention tooth extractions as the dental procedure, which meets this criterion.",no,"This is a systematic review, not a primary research study of the required types, which is a critical failure.",maybe,"While MRONJ incidence is mentioned, the follow-up period is not specified, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not specify the age requirements of the study population, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not mention the sample size of the study, so the reasoning for this criterion is uncertain.",no,"The abstract mentions ""high-dose bisphosphonate,"" but also includes denosumab (a non-bisphosphonate), which partially violates the criterion requiring only oral bisphosphonates.",maybe,"The abstract does not mention the diagnostic standards for MRONJ, so the reasoning for this criterion is uncertain.",Exclude,"The systematic review focuses on cancer patients taking high-dose bisphosphonates and denosumab, which critically fails multiple screening criteria by including a mixed population and non-bisphosphonate medications. Key exclusionary factors include the study's systematic review design, cancer patient population, and inclusion of non-bisphosphonate treatments, rendering the abstract non-compliant with the specified screening requirements.",0.1
Pharmacogenetics of medication-related osteonecrosis of the jaw: a systematic review and meta-analysis.,"Z. Guo, W. Cui, L. Que, C. Li, Xiu-fa Tang, J. Liu",10.1016/j.ijom.2019.07.016,https://doi.org/10.1016/j.ijom.2019.07.016,International Journal of Oral & Maxillofacial Surgery,20,2020,no,"The abstract mentions patients ""treated with bisphosphonates"" but also includes multiple myeloma patients, which violates the exclusion criterion for cancer patients. This is identified as a critical failure.",no,"There is no mention of time intervals between medication start, dental procedures, and MRONJ incidence, so this criterion is not met.",maybe,"The abstract mentions ""MRONJ and non-MRONJ groups"" but does not explicitly state if there is a control group of patients not taking anti-resorptive medications. The reasoning is unclear on whether this criterion is met.",no,"The abstract does not mention any specific dental procedures, so this criterion is not met.",no,"This is a systematic review, not a primary research study of the required designs, which is identified as a critical failure.",maybe,"While MRONJ incidence is discussed, there is no mention of the follow-up period, so the reasoning is unclear on whether this criterion is met.",maybe,"The abstract does not specify the age range of the participants, so the reasoning is unclear on whether this criterion is met.",yes,"The study includes 1515 participants total, which exceeds the 100-subject requirement, so this criterion is met.",maybe,"While bisphosphonates are mentioned, the abstract does not specify if they are oral or intravenous, so the reasoning is unclear on whether this criterion is met.",no,"The abstract does not mention diagnostic standards for MRONJ, so this criterion is not met.",Exclude,"This systematic review fails multiple critical screening criteria, including inclusion of cancer patients and lack of specification of dental procedures. The study design does not match required research types, and key methodological details such as diagnostic standards and medication route are not clearly defined. Consequently, the paper does not meet the essential screening requirements for inclusion.",0.1
Proposal for a preventive protocol for medication-related osteonecrosis of the jaw,"M. M. Romero-Ruiz, Marta Romero-Serrano, Ascensión Serrano-González, M. Serrera-Figallo, J. Gutierrez-Perez, D. Torres-Lagares",10.4317/medoral.24197,https://doi.org/10.4317/medoral.24197,Medicina Oral,18,2020,no,"While the paper discusses both osteoporosis and cancer patients, it appears to be developing protocols for both populations rather than studying a specific patient group.",no,The paper does not document time intervals for medication to procedure to MRONJ.,no,"The abstract does not mention any control group, as this is a protocol development paper rather than an interventional study.",no,"While dental procedures are mentioned, this paper is not reporting MRONJ incidence after procedures - it's developing preventive protocols.",no,"This is a literature review following PRISMA guidelines, not one of the required study designs (RCT, cohort, or case-control).",no,The paper does not document MRONJ incidence or follow-up periods.,no,The abstract does not specify any age requirements for the population.,no,This is not an interventional study with subjects - it's a literature review to develop protocols.,no,"While bisphosphonates are mentioned, this paper is not studying patients taking oral bisphosphonates - it's developing preventive protocols.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"This literature review protocol development paper fails to meet the systematic review's screening criteria, as it does not represent an interventional study with a defined patient population, control group, or documented MRONJ incidence. The abstract describes a methodological approach to developing preventive protocols rather than presenting original research with measurable outcomes related to medication-related osteonecrosis of the jaw.",0.1
Medication-Related Osteonecrosis of the Jaw,"K. Yamagata, F. Uchida, N. Kanno, T. Yanagawa, H. Bukawa",10.5772/67980,https://doi.org/10.5772/67980,-,60,2017,no,"The abstract explicitly mentions that it covers both cancer patients and osteoporosis patients, which violates the requirement for a pure osteoporosis population. This is a critical failure.",no,"No specific time intervals are mentioned, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",maybe,"The abstract mentions extraction sockets and oral surgical procedures, but doesn't report specific MRONJ incidence rates, so this criterion is partially met.",no,This appears to be a review article rather than any of the required study designs. The abstract discusses general concepts and treatment goals rather than presenting original research. This is a critical failure.,maybe,"While MRONJ is discussed, there's no mention of follow-up periods or specific incidence documentation, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not specify the age requirements of the subjects, so the reasoning for this criterion is uncertain.",maybe,"The abstract does not mention any sample size, so the reasoning for this criterion is uncertain.",no,"While bisphosphonates are mentioned, the abstract also discusses denosumab and other antiangiogenic inhibitors, which violates the requirement for only oral bisphosphonates. This is a critical failure.",maybe,"While MRONJ is discussed, specific diagnostic standards are not mentioned, so the reasoning for this criterion is uncertain.",Exclude,"The abstract fails critical screening criteria by including mixed patient populations (cancer and osteoporosis), discussing multiple medication types beyond oral bisphosphonates, and presenting a review-style format rather than an original research design. Multiple key requirements are not met, including specific diagnostic standards, clear outcome documentation, and a defined control group, rendering the study unsuitable for systematic review inclusion.",0.1
The Effect of Antiresorptive Drug Holidays on Medication-Related Osteonecrosis of the Jaw: A Systematic Review and Meta-Analysis,"Ali Aboalela, F. Farook, A. Alqahtani, Mandlin Almousa, R. Alanazi, Duaa Almohammadi",10.7759/cureus.30485,https://doi.org/10.7759/cureus.30485,Cureus,9,2022,maybe,"The study focuses on patients taking antiresorptive medications, but does not explicitly exclude cancer patients or specify that the population is limited to osteoporosis patients only.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",yes,"The study included a control group of patients not taking anti-resorptive medications, which adds 0.2 points to the score.",yes,"The study specifically looks at MRONJ incidence following ""dentoalveolar surgery or tooth extractions.""",yes,"This is a systematic review that included ""observational and interventional studies"" and excluded case reports/series, which meets the study design criterion.",maybe,"While MRONJ incidence is documented, the follow-up period is not specified.",maybe,"The abstract does not specify the age range of the participants, so the age criterion is unclear.",yes,"The study includes 6808 total subjects (4847 cases + 1961 controls), which is well above the 100-subject requirement.",maybe,"The abstract only mentions ""antiresorptive (AR) therapy"" without specifying if it's oral bisphosphonates exclusively.",no,The abstract does not mention the diagnostic standards used for MRONJ.,Include,"A systematic review examining medication-related osteonecrosis of the jaw (MRONJ) in patients undergoing dental procedures, with a large sample size of 6808 subjects and a control group. While meeting some screening criteria like procedure type and subject size, the study lacks clarity on key elements such as patient age, specific medication type, and diagnostic standards for MRONJ. The research provides insights into antiresorptive therapy and dental procedures but falls short of fully satisfying all predefined screening requirements.",2.7
Factors associated with osteonecrosis of the jaw among bisphosphonate users.,"L. Hess, J. Jeter, M. Benham-Hutchins, D. Alberts",10.1016/j.amjmed.2008.01.047,https://doi.org/10.1016/j.amjmed.2008.01.047,American Journal of Medicine,139,2008,yes,"The study specifically focused on patients taking bisphosphonates for non-cancer indications, with 85 osteoporosis patients, which meets the criterion.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group, so no points were added for this criterion.",maybe,"The abstract mentions that 88.9% had a dental procedure before MRONJ onset, but doesn't specify which procedures.",no,"This appears to be a systematic review of case reports, which does not meet the acceptable study design criteria.",no,"While MRONJ incidence is documented, the follow-up period is not specified.",yes,"The mean age of the subjects was 69.4 years, which meets the requirement of being over 18 years old.",no,"The study included 99 cases total, with 85 osteoporosis patients, which falls below the required 100 subjects for the medication group.",maybe,"The abstract mentions that 83.3% were receiving oral bisphosphonates, which partially meets the criterion, but there's some uncertainty about the exact medications.",no,The abstract does not explicitly mention diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet critical screening criteria, including insufficient sample size, inappropriate study design, and lack of a control group. While the research provides insights into bisphosphonate-related osteonecrosis of the jaw, it does not satisfy the methodological requirements for comprehensive analysis. Multiple key screening elements were not addressed, rendering the study non-compliant with the specified research standards.",1.4
"Is the prevalence of the medication-related osteonecrosis of the jaws underestimated, evaluation in oncological and non-oncological disease.","B. Gális, J. Zajko, D. Hirjak, L. Vanko, I. Kupcová, J. Jurkemík, P. Gengelova, K. Mikušková, K. Halmova, M. Riznic, L. Czako",10.4149/BLL_2017_137,https://doi.org/10.4149/BLL_2017_137,Bratislava Medical Journal,20,2017,no,"The study includes mixed populations (osteoporosis, breast cancer, prostate cancer, multiple myeloma), which explicitly fails the criterion requiring only osteoporosis patients.",no,"No information is provided about the time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",no,The abstract does not specify which dental procedures were involved in MRONJ cases.,maybe,"This appears to be a multi-centric prevalence study, but the exact design is not clearly specified. It seems to be a retrospective analysis of cases.",no,"While the study documents MRONJ prevalence, it does not specify follow-up periods or clearly document incidence after dental treatment.",maybe,"The abstract does not explicitly state the age of the subjects, though it is likely they are adults given the context.",maybe,"The study includes 1166 MRONJ patients total, but does not specify how many were in the osteoporosis group. The osteoporosis prevalence is 0.47%, but it cannot be determined if the osteoporosis subgroup meets the 100-subject requirement.",maybe,"The abstract only mentions ""antiresorptive drugs"" generally, without specifying oral bisphosphonates.",no,The abstract does not mention diagnostic standards for MRONJ.,Include,"The study fails key screening criteria by including a mixed patient population with cancer patients, lacking specific diagnostic standards for MRONJ, and not clearly documenting dental procedures or intervention types. Multiple critical requirements were not met, including the need for an osteoporosis-only population and detailed documentation of MRONJ latency and dental treatment outcomes. The research provides valuable prevalence data but does not align with the systematic review's precise methodological requirements.",2.5
Analysis of Implant Associated Medication related osteonecrosis of the jaw: Retrospective clinical study,"Dongkyu Jang, Jin-Woo Kim",10.1111/clr.139_13644,https://doi.org/10.1111/clr.139_13644,-,1,2020,yes,"The abstract specifically mentions that the majority of the reason for drug administration is osteoporosis, and does not indicate a mixed population or cancer patients.",yes,"The study documents time intervals between implant installation and MRONJ occurrence (2.54 years for surgically triggered group) and between drug administration and MRONJ (3.92 years for present triggered group), which meets the MRONJ latency criterion.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,The study focuses on dental implant procedures and reports MRONJ incidence following these procedures.,no,"This appears to be a retrospective case series, which is not one of the accepted study designs.",maybe,"While MRONJ incidence is documented, the follow-up period is not explicitly stated.",yes,"The mean age of the subjects is 70.3 years, which clearly meets the requirement of being over 18 years old.",no,"The study only includes 26 patients, which is well below the required 100 subjects for the medication group at the final statistical analysis stage.",yes,"The study mentions alendronate and ibandronate (oral bisphosphonates) for osteoporosis treatment, which meets the intervention type criterion.",maybe,"While MRONJ is discussed, the abstract does not explicitly mention the diagnostic standards used.",Include,"The study fails critical screening criteria due to its small sample size of 26 patients and retrospective case series design, which do not meet the required methodological standards. Despite addressing some criteria like patient age, osteoporosis indication, and oral bisphosphonate intervention, the fundamental methodological limitations prevent the study from qualifying for inclusion. Unclear diagnostic standards and lack of a control group further compromise the study's screening potential.",2.5
Medication-Related Osteonecrosis of the Jaw in Dental Practice: A Retrospective Analysis of Data from the Milan Cohort,"Cristina Mirelli, S. Marino, A. Bovio, Sara Pederielli, C. Dall’Agnola, A. Giannì, R. Biagi",10.3390/dj10050089,https://doi.org/10.3390/dj10050089,Dental journal,5,2022,yes,"The study specifically focuses on osteoporotic patients taking antiresorptive drugs, excluding cancer patients, so this criterion is met.",no,"The abstract mentions ""duration of treatment"" but does not specifically document the time intervals between medication start, dental procedures, and MRONJ incidence, so no points were added for this criterion.",maybe,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",maybe,"While dental procedures are mentioned, the abstract does not clearly specify which procedures were studied or report specific MRONJ incidence rates following these procedures.",yes,"The study is described as a ""retrospective analysis,"" which appears to be a retrospective cohort study, so this criterion is met.",maybe,"While MRONJ is discussed, the abstract does not clearly document the follow-up period or specific MRONJ incidence rates.",yes,"While not explicitly stated, the context suggests the study included adult patients (osteoporosis patients), so this criterion is likely met.",yes,"The study includes 434 patients, which exceeds the minimum requirement of 100 subjects, so this criterion is met.",maybe,"The abstract mentions ""antiresorptive drugs (ARDs)"" but does not specify if they are all oral bisphosphonates. It mentions ""per oral therapies"" but this is not exclusive to bisphosphonates, creating uncertainty about whether this criterion is met.",no,"The abstract does not explicitly mention the diagnostic standards used for MRONJ, which is a significant omission.",Include,"A retrospective study of 434 osteoporotic patients taking antiresorptive drugs reveals potential risk factors for medication-related osteonecrosis of the jaw, with significant methodological limitations including unclear diagnostic standards and incomplete documentation of dental procedures and outcomes. While meeting some screening criteria like population size and study design, the research lacks a control group and precise specification of intervention types, creating uncertainty about its comprehensive assessment of MRONJ risk.",2.9
"Medication-related osteonecrosis of the jaw: A review about etiology, risk factors, pathophysiology, and treatment","Sheetal Singar, A. Parihar, P. Reddy, A. Maurya, Vishal Bamaniya",10.4103/jiaomr.jiaomr_206_19,https://doi.org/10.4103/jiaomr.jiaomr_206_19,Journal of Indian Academy of Oral Medicine and Radiology,3,2020,no,"The abstract discusses antiresorptive medication but does not specifically focus on osteoporosis patients, mentioning it as a general condition. It appears to be a review of MRONJ rather than a specific study population.",no,No specific time intervals are documented.,no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"While dental procedures are mentioned generally (""dentoalveolar trauma and extraction""), the abstract does not report specific MRONJ incidence following these procedures.",no,This appears to be a review article rather than any of the specified study designs. No methodology is described.,no,The abstract does not present any specific follow-up period or documented MRONJ incidence.,maybe,"The abstract does not specify the age of the subjects, so the age of the population is unknown.",maybe,"No subject numbers are mentioned in the abstract, so the subject size is unknown.",no,"While antiresorptive medications are mentioned, the abstract does not specify oral bisphosphonates exclusively. It appears to discuss antiresorptive medications broadly.",yes,"The abstract does mention diagnostic criteria (""exposed bone in the jaw for more than 8 weeks and has a history of antiresorptive and antiangiogenic medication with a negative history of radiotherapy"").",Exclude,"The abstract fails to meet multiple critical screening criteria, including specific study design, population characteristics, and outcome documentation. While discussing medication-related osteonecrosis of the jaw, the text appears to be a general review rather than a research study with defined methodological parameters. Consequently, the abstract does not provide sufficient evidence to qualify for inclusion based on the established screening requirements.",1.4
"Medication-related osteonecrosis of the jaw, a risk to reassess in osteoporotic patients.","maxime debiève, L. Castiaux, Aline van Maanen, M. Magremanne",10.2139/ssrn.4175108,https://doi.org/10.2139/ssrn.4175108,Journal of Stomatology Oral and Maxillofacial Surgery,3,2022,no,"The study specifically includes osteoporosis patients (67 cases) and separates them from cancer patients. However, it's a mixed population study that includes both groups, which violates this criterion.",no,"The abstract does not document the time intervals between medication start, dental procedures, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,no,The abstract does not specify which dental procedures were associated with MRONJ development.,yes,"The study is described as a ""retrospective study,"" which meets the criterion as a retrospective cohort study.",maybe,"The study has a mean follow-up time of 23.7 months (1-110), which exceeds the 6-month requirement. However, it's unclear if MRONJ incidence is clearly documented after specific dental treatments.",yes,"The study includes adults with mean age 74.4 (range 50-98), meeting the >18 years criterion.",no,"The study includes 67 osteoporotic patients, which is below the required 100 subjects for the medication group.",maybe,"The abstract mentions ""anti-resorptive drugs"" but doesn't specify if they are oral bisphosphonates. This is unclear from the abstract.",no,The abstract does not mention the diagnostic standards used for MRONJ.,Include,"The study fails key screening criteria due to a mixed patient population, insufficient sample size for the osteoporosis group, and lack of specificity regarding dental procedures and medication type. Critical methodological gaps include missing diagnostic standards, unclear intervention details, and absence of documented time intervals between medication and MRONJ incidence. Despite being a relevant research effort, the study does not meet the predefined systematic review inclusion requirements.",2.5
A systematic review assessing occurrence of medication-related osteonecrosis of the jaw following dental procedures,"Shimelly Monteiro de Castro Lara, F. Muniz, Ana C. R. Geronimo, Cinthia Studzinski dos Santos, Thayanne Brasil Barbosa Calcia",10.20396/bjos.v21i00.8666585,https://doi.org/10.20396/bjos.v21i00.8666585,Brazilian Journal of Oral Sciences,1,2022,no,"The abstract indicates that ""cancer was the most frequent underlying health condition"" and mentions ""bone-modifying drugs"" broadly, not specifically osteoporosis patients. This fails to meet the criterion of focusing exclusively on osteoporosis patients.",no,"The abstract does not mention documenting the time intervals between medication start, dental procedures, and MRONJ incidence.",no,"The abstract does not explicitly mention a control group, which is a significant limitation.",yes,"The abstract does discuss dental procedures (tooth extractions and periodontal therapy) and MRONJ outcomes, meeting this criterion.",no,"This is a systematic review, not a primary research study of the types specified in the criteria. This fails to meet the criterion.",no,"While the abstract discusses MRONJ incidence, it does not specify the follow-up period length.",yes,"The abstract mentions a mean age of 64 years, which meets the criterion of subjects being over 18 years old.",maybe,"The abstract mentions 17 included studies but does not specify the sample size of individual studies, so this information is unclear.",no,"The abstract mentions ""bone-modifying drugs"" and specifically ""Zoledronic acid"" which is an intravenous bisphosphonate, not oral bisphosphonates. This fails to meet the criterion.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including study design, population specificity, and intervention type. Key disqualifying factors include the inclusion of cancer patients, focus on intravenous bisphosphonates, and lack of specific diagnostic standards for MRONJ. The study's broad approach and methodological limitations prevent it from satisfying the predefined screening requirements.",1.4
Medication-related osteonecrosis of the jaw: Clinical and practical guidelines,"D. Rosella, P. Papi, R. Giardino, E. Cicalini, L. Piccoli, G. Pompa",10.4103/2231-0762.178742,https://doi.org/10.4103/2231-0762.178742,Journal of International Society of Preventive and Community Dentistry,152,2016,no,"The abstract discusses MRONJ in general terms and mentions both antiresorptive and antiangiogenic therapy, but does not specify a pure osteoporosis population, and appears to include cancer patients. Therefore, the study fails this criterion.",no,"The abstract does not document any specific time intervals, so no points were added for this criterion.",no,"The abstract does not mention any control group, so no points were added for this criterion.",no,"While dental procedures are mentioned in the context of prevention, the abstract doesn't report specific MRONJ incidence following these procedures, so the study fails this criterion.",no,"This appears to be a review paper rather than any of the specified study designs, as the abstract mentions ""current knowledge"" and ""management strategies"" suggesting it's a review of existing literature. Therefore, the study fails this criterion.",no,"The abstract does not report specific MRONJ incidence or follow-up periods, so the study fails this criterion.",maybe,"The abstract does not specify the age requirements of the study population, so the reasoning for this criterion is unknown.",maybe,"The abstract does not mention any specific number of subjects, so the reasoning for this criterion is unknown.",no,"While bisphosphonates are mentioned, the abstract discusses both oral and other forms of antiresorptive medications, and includes antiangiogenic therapy. It's not focused specifically on oral bisphosphonates, so the study fails this criterion.",no,"The abstract does not mention specific diagnostic standards for MRONJ, so the study fails this criterion.",Exclude,"This review article fails multiple critical screening criteria, including lack of a specific study design, absence of a focused osteoporosis population, and no clear documentation of MRONJ incidence or diagnostic standards. The paper appears to be a general overview of medication-related osteonecrosis of the jaw rather than an original research study meeting the required methodological specifications.",0.1
Incidence and risk factors associated to Medication-Related OsteoNecrosis of the Jaw (MRONJ) in patients with osteoporosis after tooth extractions. A 12-months observational cohort study.,"A. Cuozzo, V. Iorio-Siciliano, Emanuele Vaia, Leopoldo Mauriello, A. Blasi, L. Ramaglia",10.1016/j.jormas.2022.03.020,https://doi.org/10.1016/j.jormas.2022.03.020,Journal of Stomatology Oral and Maxillofacial Surgery,4,2022,yes,"The study specifically focuses on osteoporotic patients taking oral bisphosphonates, excluding cancer patients and mixed populations.",no,"The abstract mentions ""duration of therapy"" but does not clearly document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,The abstract does not mention a control group of patients not taking anti-resorptive medications.,yes,The study specifically looks at tooth extractions and reports MRONJ incidence.,yes,"While not explicitly stated, the study appears to be a prospective cohort study following patients for 12 months.",yes,The study has a 12-month follow-up period and clearly documents MRONJ incidence (0.6%).,yes,"The mean age of the subjects is 67.5 ± 3 years, which clearly meets the criterion of being over 18 years old.",no,"The study includes 45 patients (43 females, 2 males) with 159 tooth extractions, which falls below the required 100 subjects for the medication group.",yes,"The study only includes patients taking oral bisphosphonates (alendronate, risedronate, and ibandronate) for osteoporosis treatment.",maybe,"The abstract mentions ""mucosal healing"" and ""osteonecrosis"" but does not explicitly detail the diagnostic standards for MRONJ.",Include,"A prospective cohort study of osteoporotic patients taking oral bisphosphonates reveals a low MRONJ incidence after tooth extractions, with a small sample size of 45 patients. While meeting several key screening criteria like population indication and intervention type, the study falls short on critical requirements such as subject size and control group presence. The research provides insights into MRONJ risk but lacks the comprehensive methodological rigor needed for definitive conclusions.",2.7
The role of antiresorptive drugs and medication-related osteonecrosis of the jaw in nononcologic immunosuppressed patients: A systematic review,"R. Sacco, Julian Woolley, J. Yates, M. Calasans-Maia, O. Akintola, V. Patel",10.4103/JRMS.JRMS_794_20,https://doi.org/10.4103/JRMS.JRMS_794_20,Journal of Research in Medical Sciences,5,2021,no,"The study focuses on immunosuppressed patients taking antiresorptive medications, which is a mixed population that includes but is not limited to osteoporosis patients. This fails to meet the criterion of focusing specifically on osteoporosis patients.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",yes,"The study does report MRONJ incidence following dental procedures, specifically mentioning dental extraction (n=197).",no,"This is a systematic review of multiple studies, not a primary research study of the required design types.",maybe,"While the study reports MRONJ incidence, the follow-up period is not specified.",maybe,"The abstract does not explicitly state the age of the subjects, so it is unclear if this criterion is met.",maybe,"The study includes 206 patients total, but this is across multiple studies in a systematic review. It cannot be determined if individual studies had more than 100 subjects.",no,"The study includes multiple types of antiresorptive medications, including bisphosphonates, denosumab, and antiangiogenic drugs. This is broader than the required focus on oral bisphosphonates.",no,The abstract does not mention specific diagnostic standards for MRONJ.,Exclude,"The systematic review fails to meet multiple critical screening criteria, including specific population requirements, intervention type, and study design. Key limitations include a mixed patient population, inclusion of multiple medication types beyond oral bisphosphonates, and lack of a control group. The study's broad approach and methodological differences significantly deviate from the predefined screening standards.",1.4
Efficacy of a high-dose antiresorptive drug holiday to reduce the risk of medication-related osteonecrosis of the jaw (MRONJ): A systematic review,"C. Ottesen, M. Schiødt, K. Gotfredsen",10.1016/j.heliyon.2020.e03795,https://doi.org/10.1016/j.heliyon.2020.e03795,Heliyon,68,2020,no,"The study specifically focuses on patients with cancer, which is explicitly excluded in the criteria.",no,"The abstract does not mention the time intervals between medication start, dental procedure, and MRONJ incidence, so the reasoning for this criterion is unclear.",yes,"The study included a control group of patients not taking anti-resorptive medications, which meets the criteria for this factor.",yes,"The study mentions tooth extraction or dentoalveolar surgery and MRONJ outcomes, which meets the criteria for this factor.",yes,"The study includes randomized controlled trials, cohort studies, and prospective studies, which meets the criteria for this factor.",maybe,"While the study discusses MRONJ incidence, the follow-up period is not specified, so the reasoning for this criterion is unclear.",maybe,"The abstract does not specify the age requirements for the study population, so the reasoning for this criterion is unclear.",maybe,"The abstract does not specify the number of subjects in the medication group, so the reasoning for this criterion is unclear.",maybe,"While the study includes bisphosphonates, it also includes denosumab (a non-bisphosphonate), which partially violates the criteria for this factor.",no,"The abstract does not mention the diagnostic standards for MRONJ, so the reasoning for this criterion is unclear.",Exclude,"The systematic review focuses on medication-related osteonecrosis of the jaw in cancer patients, which immediately disqualifies it from meeting the screening criteria targeting non-cancer osteoporosis populations. Multiple methodological limitations, including the inclusion of non-bisphosphonate medications and unclear documentation of key parameters, further compromise the study's alignment with the specified screening requirements.",1.4
Risk factors associated with onset of medication-related osteonecrosis of the jaw in patients treated with denosumab,"A. Wick, Philipp Bankosegger, S. Otto, B. Hohlweg-Majert, T. Steiner, F. Probst, O. Ristow, C. Pautke",10.1007/s00784-021-04261-4,https://doi.org/10.1007/s00784-021-04261-4,Clinical Oral Investigations,19,2021,no,"The study includes a mixed population of cancer patients and osteoporosis patients, which does not meet the requirement for a population specifically chosen from patients taking medication for osteoporosis.",no,"The abstract does not mention the time intervals between medication start, dental procedures, and MRONJ incidence.",yes,"The study includes a control group (Group I, n=40) receiving DNO without MRONJ, which meets the requirement for a control group.",maybe,"The study mentions ""oral inflammation"" and ""denture use"" but does not specifically focus on the required dental procedures, and does not clearly report MRONJ incidence following these procedures.",yes,"The study design is a retrospective cohort study, which is an acceptable design.",maybe,"The follow-up period is not mentioned in the abstract, and the timing of MRONJ incidence is unclear.",maybe,"The age of the subjects is mentioned as a parameter, but the specific age range is not provided, so it is unclear if the population is over 18 years old.",yes,"The study includes a total of 128 patients, with 46 in the Test 1 group and 42 in the Test 2 group, which exceeds the requirement of over 100 subjects for the medication group.",no,"The study focuses on denosumab (DNO), not oral bisphosphonates, which does not meet the requirement for the intervention type.",no,The abstract does not mention the diagnostic standards for MRONJ.,Exclude,"The study fails critical screening criteria by using denosumab instead of oral bisphosphonates and including a mixed population with cancer patients. Multiple key requirements were not met, including specific dental procedure documentation, diagnostic standards, and clear outcome reporting. The research design and population do not align with the predefined screening criteria.",1.4
Surgical Management of Medication-Related Osteonecrosis of the Jaw Is Associated With Improved Disease Resolution: A Retrospective Cohort Study.,"M. El-Rabbany, D. Lam, P. Shah, A. Azarpazhooh",10.1016/j.joms.2019.03.040,https://doi.org/10.1016/j.joms.2019.03.040,Journal of oral and maxillofacial surgery,27,2019,no,"The study includes patients taking medication for osteoporosis, but also includes patients taking medication for oncologic purposes, which violates the criterion of a population with a single indication.",no,"The abstract does not document the time intervals between medication start, dental procedure, and MRONJ incidence.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, so no points were added for this criterion.",no,The abstract does not specify which dental procedures led to MRONJ. It focuses on treatment of MRONJ rather than its incidence after dental procedures.,yes,"This is a retrospective review, which is an acceptable study design.",no,"While the study has a follow-up period, it documents treatment outcomes rather than MRONJ incidence after dental procedures.",yes,"While not explicitly stated, the study is of osteoporosis patients, so it can be reasonably assumed that the subjects are over 18 years old.",no,"The total sample size is 78 patients, with 56 in the surgical group, which is below the required 100 subjects per group.",maybe,"The abstract mentions ""antiresorptive agents"" but does not specify if they are oral bisphosphonates. It also includes antiangiogenic therapy, which is not specified in the criteria.",no,The abstract does not mention the diagnostic standards used for MRONJ.,Exclude,"The study fails to meet multiple critical screening criteria, including population specificity, sample size requirements, and documentation of dental procedure-related MRONJ incidence. Key limitations include a mixed patient population, insufficient subject numbers, and a focus on treatment outcomes rather than procedural risk assessment. The research does not align with the predefined screening parameters for a comprehensive MRONJ investigation.",1.4
