Title,Authors,DOI,DOI link,Venue,Citation count,Year,Adult Population,"Reasoning for ""Adult Population""",Population Type,"Reasoning for ""Population Type""",Medication Type,"Reasoning for ""Medication Type""",Control Group,"Reasoning for ""Control Group""",Outcome Reporting,"Reasoning for ""Outcome Reporting""",Study Design,"Reasoning for ""Study Design""",Intervention Documentation,"Reasoning for ""Intervention Documentation""",Subject size,"Reasoning for ""Subject size""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Medication-related osteonecrosis of the jaw: a narrative review of risk factors, diagnosis, and management","Jacob G. Thomas, A. Ouanounou",10.21037/fomm-21-106,https://doi.org/10.21037/fomm-21-106,Frontiers of Oral and Maxillofacial Medicine,4,2021,maybe,The abstract does not specify age restrictions or whether the population is exclusively adult.,no,"The abstract explicitly mentions that MRONJ occurs in ""patients with osteoporosis and/or cancer,"" indicating that the review includes cancer patients, which violates this criterion.",no,"The abstract discusses antiresorptive agents in general but does not specifically focus on Denosumab (Prolia). It mentions ""antiresorptive and/or antiangiogenic agents"" broadly, which includes but is not limited to Denosumab.",no,"As a review article, it does not include a control group.",no,"While the paper discusses MRONJ and mentions diagnostic criteria, it does so in a general review context rather than reporting specific incidence rates from a primary study.",no,"This is a narrative review of literature, not a randomized controlled trial, cohort study, or case-control study.",no,"While the abstract mentions ""dentoalveolar surgery"" as a common initiating factor, it does not document specific dental procedures with follow-up periods in a primary research context.",no,"This is a narrative review article, not a primary research study. No specific subject size is mentioned.",Exclude,"This narrative review fails to meet multiple screening criteria, including specific medication type, study design, subject size, and population restrictions. The paper discusses medication-related osteonecrosis of the jaw broadly but lacks the precise methodological requirements for inclusion in a systematic review. Its comprehensive review nature precludes it from satisfying the detailed research parameters specified in the screening criteria.",0.1
Medication-related osteonecrosis of the jaw. Implant presence-triggered osteonecrosis: Case series and literature review.,"M. Escobedo, J. Cobo, S. Junquera, J. Milla, S. Olay, Luis Junquera",10.1016/j.jormas.2019.04.012,https://doi.org/10.1016/j.jormas.2019.04.012,Journal of Stomatology Oral and Maxillofacial Surgery,32,2020,maybe,"While the study likely involves adults, the abstract doesn't explicitly state the age range of participants, creating uncertainty about whether this criterion is met.",maybe,"The abstract doesn't specify whether patients with cancer or bone metastases were excluded, creating uncertainty about whether this criterion is met.",no,"The study examines oral administered anti-resorptive medications, including alendronate, but does not specifically mention Denosumab (Prolia). This does not meet the criterion of examining Denosumab for osteoporosis treatment.",no,"The abstract does not mention any control group of patients not taking anti-resorptive medications, so this criterion is not met.",yes,"The study does report MRONJ incidence and appears to have clear diagnostic criteria, as it distinguishes between IPTO and ISTO. This criterion is met.",no,"The study is a literature review with a small retrospective component, which does not meet the criterion for being a randomized controlled trial, prospective/retrospective cohort study, or case-control study.",maybe,"The study focuses on dental implants and their relationship to MRONJ, but doesn't specify other dental procedures or follow-up periods, only partially meeting this criterion.",no,"The study includes 111 articles in the literature review and 7 patients from the center, for a total of 101 cases. However, this is a review rather than a primary study, and the center's portion is well below the 100-patient requirement.",Exclude,"The study fails to meet multiple critical screening criteria, including the specific medication type, study design, and control group requirements. While the research provides insights into medication-related osteonecrosis of the jaw, it does not align with the predefined inclusion parameters for a comprehensive review of Denosumab treatment. Significant methodological limitations and population uncertainties prevent the study from satisfying the established screening criteria.",1.4
Treatment of medication-related osteonecrosis of the jaw (MRONJ). A systematic review.,"F. Goker, E. Grecchi, F. Grecchi, L. Francetti, M. Del Fabbro",10.26355/eurrev_202103_25430,https://doi.org/10.26355/eurrev_202103_25430,European Review for Medical and Pharmacological Sciences,21,2021,maybe,The abstract does not specify the age range of patients included in the reviewed studies.,maybe,The abstract does not specify whether cancer patients were excluded from the reviewed studies.,no,"The abstract discusses antiresorptive agents broadly but does not specifically focus on Denosumab (Prolia). It appears to be a systematic review of various treatments for MRONJ, not a primary study of Denosumab.",no,"As a systematic review, it does not include its own control group.",no,"While the study discusses MRONJ outcomes, it focuses on treatment options rather than incidence following dental procedures.",no,"This is a systematic review, not a primary research study of any of the specified designs (RCT, cohort, or case-control).",no,"While dental procedures are mentioned, this paper focuses on treatment of MRONJ rather than documenting specific dental procedures that led to MRONJ.",no,"The abstract mentions including studies with ""at least 3 cases"" and evaluates 118 articles, but this is a systematic review, not a primary study with its own subject population.",Exclude,"This systematic review of medication-related osteonecrosis of the jaw (MRONJ) treatment options fails to meet the specified screening criteria, primarily because it is a review rather than a primary research study. The paper does not focus on Denosumab, lacks a specific patient population, and does not document dental procedures or MRONJ incidence as required by the screening criteria.",0.1
Management of Tooth Extraction in Patients Taking Antiresorptive Drugs: An Evidence Mapping Review and Meta-Analysis,"Chang Liu, Y. Xiong, T. Zhu, Wei Liu, W. Tang, W. Zeng",10.3390/jcm12010239,https://doi.org/10.3390/jcm12010239,Journal of Clinical Medicine,7,2022,maybe,The abstract does not specify the age range of patients or confirm that all subjects had diagnosed osteoporosis.,maybe,The abstract does not specify whether patients with cancer or bone metastases were excluded.,no,"The abstract discusses ""antiresorptive drugs"" broadly but does not specifically mention Denosumab (Prolia). This is a significant limitation as Elicit could not confirm if Denosumab was included in the analysis.",yes,"The abstract mentions comparing drug holiday vs. drug continuation and antibacterial prophylaxis vs. control, suggesting control groups were present.",yes,"The study clearly reports MRONJ incidence following dental procedures, specifically tooth extraction, with clear focus on this outcome.",maybe,"The paper is a systematic review that includes randomized controlled trials and other primary studies. While this meets the criterion for acceptable study designs, it's a review rather than a primary study.",yes,"The study focuses on tooth extraction procedures and mentions follow-up periods (e.g., ""over a 3-month follow-up""), meeting this criterion.",maybe,"The abstract does not specify the total number of patients included in the analysis. While it mentions 15 primary studies and 5 reviews, Elicit could not determine if the total subject size exceeds 100 patients.",Include,"The systematic review fails to meet key screening criteria, particularly the specific focus on Denosumab and clear documentation of patient population characteristics. While the study addresses medication-related osteonecrosis of the jaw and dental procedures, significant uncertainties exist regarding subject size, patient demographics, and intervention specifics. The broad approach to antiresorptive drugs and lack of precise population details prevent definitive alignment with the predefined screening requirements.",2.7
Switching from zoledronic acid to denosumab increases the risk for developing medication-related osteonecrosis of the jaw in patients with bone metastases,"H. Ikesue, Kohei Doi, M. Morimoto, M. Hirabatake, Nobuyuki Muroi, S. Yamamoto, T. Takenobu, T. Hashida",10.1007/s00280-021-04262-w,https://doi.org/10.1007/s00280-021-04262-w,Cancer Chemotherapy and Pharmacology,18,2021,no,"While the study likely involves adults, the abstract doesn't explicitly state the age range of participants. More importantly, the population has cancer and bone metastases, not osteoporosis.",no,"The study explicitly focuses on patients with cancer and bone metastases, which directly contradicts this criterion requiring a population free from cancer and bone metastases.",no,"The study examines denosumab, but in combination with zoledronic acid and for bone metastases, not for osteoporosis treatment. This is a critical mismatch with the inclusion criteria.",no,"The study does not include a control group of patients not taking anti-resorptive medications. Instead, it compares different treatment groups (ZA, denosumab, and ZA-to-denosumab switch).",maybe,"The study does report MRONJ incidence with clear documentation, including specific risk factors and hazard ratios. However, the diagnostic criteria are not explicitly stated in the abstract.",yes,"The study is described as a retrospective review of medical charts, which qualifies as a retrospective cohort study and meets this criterion.",no,"The study mentions tooth extraction as a risk factor, but doesn't comprehensively document all dental procedures or specify follow-up periods.",yes,"The study includes 795 patients, which clearly exceeds the minimum requirement of 100 patients.",Exclude,"The study focuses on patients with cancer and bone metastases receiving denosumab and zoledronic acid, which fundamentally differs from the required osteoporosis patient population. Critical screening criteria were not met, including the absence of a non-medicated control group and the wrong patient population. Multiple core inclusion requirements were violated, rendering the study ineligible for the systematic review.",0.1
Medication-related osteonecrosis of the jaw: Clinical and practical guidelines,"D. Rosella, P. Papi, R. Giardino, E. Cicalini, L. Piccoli, G. Pompa",10.4103/2231-0762.178742,https://doi.org/10.4103/2231-0762.178742,Journal of International Society of Preventive and Community Dentistry,152,2016,maybe,The abstract doesn't specify the age range of patients or confirm exclusive focus on osteoporosis patients.,no,"The abstract mentions oncologists and appears to include cancer patients in its scope, which violates this criterion.",no,"The abstract discusses antiresorptive medications including bisphosphonates and RANKL inhibitors (Denosumab), but does not specifically focus on oral Denosumab (Prolia) for osteoporosis treatment. It appears to be a general review of MRONJ.",no,No mention of control groups or study design elements.,no,"While MRONJ is the main topic, the abstract doesn't describe specific diagnostic criteria or incidence reporting following dental procedures.",no,"This appears to be a review paper rather than a primary research study (RCT, cohort, or case-control study).",no,"While dental procedures are mentioned generally, there's no specific documentation of procedures or follow-up periods.",maybe,The abstract does not mention any specific subject size or study population numbers.,Exclude,"The abstract represents a comprehensive review of medication-related osteonecrosis of the jaw, but fails to meet multiple critical screening criteria including specific medication type, study design, and population characteristics. Key deficiencies include lack of a focused intervention, absence of a control group, and inclusion of cancer patients, which disqualify the paper from meeting the systematic review requirements.",0.1
Medication-related osteonecrosis of the jaw (MRONJ) stage III: Conservative and conservative surgical approaches versus an aggressive surgical intervention: A systematic review.,"V. Jasper, V. Laurence, Smeets Maximiliaan, J. Ferri, R. Nicot, P. Constantinus",10.1016/j.jcms.2020.02.017,https://doi.org/10.1016/j.jcms.2020.02.017,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,42,2020,maybe,"The age of the patients is not specified, so it cannot be confirmed if the study exclusively involves adult patients (≥18 years) with diagnosed osteoporosis.",maybe,"The study does not mention the cancer or bone metastases status of the population, so it cannot be confirmed if the population is free from these conditions.",no,"The study examines zoledronic acid, not denosumab (Prolia), which is the medication specified in the screening criteria. This is a clear failure of a critical criterion.",no,"The study does not mention a control group, and appears to only include MRONJ patients, which fails the control group criterion.",no,"The study reports on MRONJ treatment outcomes, but does not specifically report MRONJ incidence following dental procedures, which fails the outcome reporting criterion.",yes,"The study design is a retrospective cohort study, which meets the acceptable study design criteria.",no,"The study does not mention specific dental procedures, and the follow-up period is mentioned (5 years) but not specific to dental procedures, which fails the intervention documentation criterion.",no,"The study includes 58 patients, which is below the required minimum of 100 patients specified in the screening criteria.",Exclude,"The study fails critical screening criteria by examining zoledronic acid instead of denosumab, having a small sample size of 58 patients, and lacking a control group. Multiple other criteria remain unmet, including unclear documentation of dental procedures, patient population characteristics, and specific outcome reporting. These deficiencies render the study unsuitable for inclusion in the review.",0.1
The risk of osteonecrosis of the jaw and adverse outcomes in patients using antiresorptive drugs undergoing orthodontic treatment: A systematic review,"Julian Woolley, O. Akintola, J. Yates, M. Calasans-Maia, Jose de Albuquerque Calasans-Maia, Iryna Kocherhina, R. Sacco",10.1016/j.heliyon.2021.e05914,https://doi.org/10.1016/j.heliyon.2021.e05914,Heliyon,8,2021,maybe,The abstract does not specify the age range of patients or whether they have diagnosed osteoporosis. This information is unclear.,maybe,The abstract does not specify whether patients had cancer or bone metastases. This information is unclear.,no,"The abstract discusses antiresorptive therapy and bisphosphonates, but does not specifically mention Denosumab (Prolia). This is a critical failure of a core criterion.",no,The abstract does not mention any control group of patients not taking anti-resorptive medications. This criterion is not met.,no,"While MRONJ is reported (in only 1 patient), the study focuses on orthodontic treatment outcomes rather than dental procedures. The diagnostic criteria are not clearly specified. This criterion is not fully met.",no,"This is a systematic review of various studies, not a primary research study of the required design types. This fails to meet the criterion.",no,"The study focuses on orthodontic treatment rather than the specified dental procedures (extractions, periodontal surgery, implant placement, or prosthetic interventions). This criterion is not met.",no,"The abstract mentions only 29 patients total across 7 studies, which falls well below the required 100 patients. This is another critical failure.",Exclude,"The systematic review fails to meet multiple critical screening criteria, including the required medication type, subject size, and study design. Specifically, the study examines antiresorptive therapy with only 29 patients across 7 studies, does not focus on Denosumab, and lacks a control group, rendering it ineligible for inclusion in the systematic review. The research primarily investigates orthodontic treatment outcomes rather than the specified dental procedures and patient population.",0.1
Pathogenesis of Medication-Related Osteonecrosis of the Jaw: Odontogenic Infection-Preceding Type and Osteonecrosis-Preceding Type,"Yuki Sakamoto, Shunsuke Sawada, Y. Kojima",10.7759/cureus.60223,https://doi.org/10.7759/cureus.60223,Cureus,1,2024,maybe,"While the study likely includes adults, the abstract doesn't explicitly state the age range of participants or confirm all patients had diagnosed osteoporosis.",no,"The abstract mentions that malignancy was a primary disease in some patients, which violates the requirement for a cancer-free population.",maybe,"The study includes denosumab (DMB) patients, but it's not clear if it's specifically Prolia for osteoporosis treatment. The abstract mentions ""high-dose DMB"" which suggests it might be Xgeva (the higher dose version for cancer treatment), creating significant uncertainty about whether the medication type meets the criteria.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, which is a significant limitation.",yes,"The study reports MRONJ incidence and includes diagnostic criteria (radiographic findings, CT findings, etc.), meeting this criterion.",yes,"The study is described as a retrospective review, which meets the criteria for acceptable study designs.",maybe,"While the study mentions ""trigger"" as a variable, it doesn't clearly specify dental procedures or follow-up periods.",yes,"The study includes 145 patients, which clearly meets the >100 patient requirement.",Include,"The study involves 145 patients examining medication-related osteonecrosis of the jaw, but significant uncertainties exist regarding the specific denosumab formulation, patient population characteristics, and control group composition. Critical screening criteria remain unmet, particularly the requirement for a cancer-free population and clear documentation of dental procedures, which substantially limits the study's alignment with the predefined screening requirements.",2.7
"A case report of bevacizumab-related osteonecrosis of the jaw: old problem, new culprit.","U. Disel, A. Besen, Ö. Özyi̇lkan, E. Er, T. Canpolat",10.1016/j.oraloncology.2011.07.030,https://doi.org/10.1016/j.oraloncology.2011.07.030,Oral Oncology,38,2012,maybe,"The abstract does not specify the age range of patients or whether they have osteoporosis, so this information is unclear.",no,"The study specifically focuses on patients with cancer, which explicitly fails this criterion as the population should be free from cancer.",no,"The study examines antiangiogenic drugs and anti-VEGF drugs, not Denosumab (Prolia) as required by the criterion.",no,"The abstract does not mention any control group, and the study focuses on patients with MRONJ who had not been exposed to antiresorptive drugs.",no,"While the study does report on MRONJ incidence following dental procedures, it is not specifically focused on Denosumab-related MRONJ, and the diagnostic criteria are not clearly specified in the abstract.",no,"The study is a review article analyzing other studies, not a primary research study with any of the specified designs (randomized controlled trial, prospective/retrospective cohort study, or case-control study).",no,"While dental procedures are mentioned as triggers for MRONJ, the abstract does not provide specific details about the types of procedures or follow-up periods.",no,"The study includes only 36 patients total, which is well below the required 100 patients.",Exclude,"The study fundamentally deviates from the screening criteria by examining antiangiogenic drugs instead of Denosumab, involving a small sample size of 36 patients, and focusing on cancer patients rather than a cancer-free population. Multiple critical screening requirements are unmet, including medication type, subject size, study design, and population characteristics, rendering the paper unsuitable for inclusion in the systematic review.",0.1
Medication-Related Osteonecrosis of the Jaw: A Systematic Review of Case Reports and Case Series,"Filipa Frutuoso, F. Freitas, M. Vilares, Helena Francisco, D. Marques, J. Caramês, André Moreira",10.3390/diseases12090205,https://doi.org/10.3390/diseases12090205,Diseases,0,2024,maybe,"The average age is 66.27 years (±13.03), indicating an adult population. However, osteoporosis diagnosis is not mentioned as an inclusion criterion.",maybe,The abstract doesn't specify whether patients with cancer or bone metastases were excluded. This information is unclear.,no,"The abstract discusses antiresorptive drugs but primarily focuses on zoledronic acid (32% of cases). Denosumab (Prolia) is not specifically mentioned, so the study does not examine oral administered Denosumab for osteoporosis treatment.",no,The abstract does not mention any control group.,no,"While MRONJ is the primary outcome, the abstract doesn't specifically mention diagnostic criteria following dental procedures. It does discuss treatment outcomes but not in the context required.",no,"This is a systematic review of case reports and case series, not a primary study with the required design types (RCT, cohort, or case-control).",no,"While treatments are discussed, the abstract doesn't specify dental procedures or follow-up periods as required.",yes,"The study includes 151 cases across 88 articles, which meets the minimum requirement of 100 patients.",Exclude,"The systematic review of case reports fails to meet multiple critical screening criteria, including specific medication type, study design, and control group requirements. While the study involves an adult population and examines medication-related osteonecrosis of the jaw, it lacks the precise methodological and population characteristics needed for inclusion. Key deficiencies include the absence of Denosumab focus, lack of a control group, and unclear population characteristics regarding cancer and bone metastases.",1.4
The Treatment of Medication-Related Osteonecrosis of the Jaw (MRONJ): A Systematic Review with a Pooled Analysis of Only Surgery versus Combined Protocols,"O. Di Fede, F. Canepa, V. Panzarella, R. Mauceri, Carmine Del Gaizo, A. Bedogni, V. Fusco, P. Tozzo, G. Pizzo, G. Campisi, A. Galvano",10.3390/ijerph18168432,https://doi.org/10.3390/ijerph18168432,International Journal of Environmental Research and Public Health,24,2021,maybe,The abstract does not specify the age range of patients or confirm they all have diagnosed osteoporosis.,maybe,The abstract does not specify whether patients with cancer or bone metastases were excluded.,no,"The abstract discusses antiresorptive agents but does not specifically mention Denosumab (Prolia). It appears to be a broader review of MRONJ treatments, not focused on a specific medication.",no,The study compares different treatment approaches but does not mention a control group of patients not taking anti-resorptive medications.,no,"While the study reports MRONJ outcomes, it focuses on treatment efficacy rather than incidence following dental procedures. Diagnostic criteria are not clearly specified.",no,"This is a systematic review with pooled analysis, not a primary study design (RCT, cohort, or case-control) as required.",no,"While the study discusses surgical procedures, it focuses on treatment of existing MRONJ rather than documenting dental procedures that led to MRONJ development.",yes,"The study includes 1137 patients in the pooled analysis, which exceeds the minimum requirement of 100 patients.",Exclude,"The systematic review fails to meet multiple screening criteria, including specific medication type, study design, and intervention documentation. While the study includes a large patient sample, it does not align with the required focus on Denosumab, dental procedures, and MRONJ incidence in osteoporosis patients. Critical methodological elements are missing, rendering the study non-compliant with the established screening requirements.",1.4
Medication-related osteonecrosis of the jaw: Prosthodontic considerations,"Islam E. Ali, Y. Sumita",10.1016/j.jdsr.2021.11.005,https://doi.org/10.1016/j.jdsr.2021.11.005,Japanese Dental Science Review,14,2021,maybe,The abstract does not specify the age range of the population discussed.,no,"The abstract mentions both osteoporosis and metastatic bone cancer patients, indicating a mixed population that includes cancer patients.",no,The abstract mentions denosumab (DRONJ) but does not specifically focus on oral administered Denosumab (Prolia) for osteoporosis treatment. It discusses multiple medications including bisphosphonates and antiangiogenic medications.,no,No control group is mentioned as this is a review article focusing on prosthodontic considerations.,no,"While MRONJ is discussed, the abstract does not indicate reporting of specific incidence rates with clear diagnostic criteria following dental procedures.",no,"This is a review article, not a randomized controlled trial, cohort study, or case-control study.",no,"While dental procedures are mentioned (including prosthetic interventions), this is in the context of treatment options rather than documenting specific procedures with follow-up periods.",no,The abstract does not mention any specific subject size as this appears to be a review article rather than a primary research study.,Exclude,"The abstract fails to meet multiple screening criteria, including specific medication type, subject size, study design, control group, and population requirements. As a review article discussing prosthodontic considerations for medication-related osteonecrosis of the jaw, it does not align with the detailed research parameters specified in the screening criteria. The paper lacks the methodological rigor and specific focus needed to satisfy the comprehensive screening requirements.",0.1
P052 A literature review of anti-resorptive medications and reports of MRONJ,"Nikou Gharooni-Dowrani, Hanan Muhammad, Tarun Nagpal",10.1016/j.bjoms.2023.08.123,https://doi.org/10.1016/j.bjoms.2023.08.123,British Journal of Oral and Maxillofacial Surgery,0,2023,maybe,"The abstract does not mention specific age groups or osteoporosis diagnosis, so it is uncertain whether the study exclusively involves adult patients with diagnosed osteoporosis.",maybe,"The abstract does not mention cancer or bone metastases exclusion, so it is uncertain whether the study population is free from these conditions.",no,"The abstract only mentions ""antiresorptive medications"" generally and does not specifically mention Denosumab/Prolia, so it fails to meet this criterion.",maybe,"The abstract does not mention control groups, and as a literature review, it likely includes various study types, so it is uncertain whether it meets this criterion.",maybe,"While MRONJ is discussed, there is no mention of specific diagnostic criteria or reporting following dental procedures, so it is uncertain whether this criterion is met.",no,"This is a literature review, not a primary research study, so it does not meet the required study design criteria.",maybe,"While dental management is mentioned, the abstract does not provide details on specific procedures or follow-up periods, so it is uncertain whether this criterion is met.",maybe,"The abstract does not mention the sample size, so it is uncertain whether the study meets the requirement of over 100 patients.",Exclude,"The literature review fails to meet multiple critical screening criteria, including specific medication type, study design, and population characteristics. Key deficiencies include lack of focus on Denosumab, absence of a primary research design, and insufficient details about patient population and intervention specifics. Consequently, the abstract does not satisfy the required screening parameters for inclusion.",0.1
A nested case-control study of factors contributing to the development of medication-related osteonecrosis of the jaw in patients using bone resorption inhibitors in Mishima City.,"Keisuke Seki, Atsushi Kamimoto, Maki Wada, T. Iinuma",10.2334/josnusd.23-0096,https://doi.org/10.2334/josnusd.23-0096,Journal of Oral Science,2,2023,maybe,"Age is mentioned as a matching criterion, but the specific age range and osteoporosis diagnosis are not mentioned, so it is unclear if this criterion is met.",maybe,"There is no mention of cancer or bone metastases exclusion criteria, so it cannot be determined if the population meets this criterion.",no,"The study examines injectable bisphosphonates, not oral Denosumab (Prolia), which is a clear failure of this critical criterion.",yes,"The study includes 32 matched controls, which meets this criterion.",maybe,"The study reports MRONJ incidence, but the diagnostic criteria are not clearly specified in the abstract, so it only partially meets this criterion.",yes,"The study is explicitly stated as a case-control study, which meets this criterion.",no,"There is no specific mention of dental procedures or follow-up period, only a general reference to ""prophylactic dental treatment"", so this criterion is not met.",no,"The study includes 12 MRONJ patients and 32 controls, for a total of 44 patients, which falls well below the required 100 patients.",Exclude,"The study fails critical screening criteria by examining injectable bisphosphonates instead of oral Denosumab and having a sample size of only 44 patients, which is significantly below the required 100. Multiple other criteria remain unclear or partially met, including population type, intervention documentation, and specific outcome reporting, further compromising the study's alignment with the screening requirements.",1.4
Factors affecting development of medication-related osteonecrosis of the jaw in cancer patients receiving high-dose bisphosphonate or denosumab therapy: Is tooth extraction a risk factor?,"S. Soutome, S. Hayashida, M. Funahara, Y. Sakamoto, Y. Kojima, S. Yanamoto, M. Umeda",10.1371/journal.pone.0201343,https://doi.org/10.1371/journal.pone.0201343,PLoS ONE,52,2018,maybe,"While the study involves cancer patients, it doesn't explicitly state that all patients are adults (≥18 years). Given the cancer context, they're likely adults, but this isn't confirmed in the abstract.",no,"The study specifically focuses on cancer patients, which directly contradicts this criterion requiring a population free from cancer and bone metastases. This is a critical failure.",no,"The study includes denosumab, but it's not specifically Prolia for osteoporosis treatment. Instead, it's high-dose denosumab for cancer patients, which fails to meet the criterion.",no,"The abstract doesn't mention a control group of patients not taking anti-resorptive medications. All patients received either bisphosphonates or denosumab, so this criterion is not met.",maybe,"The study does report MRONJ incidence with clear tracking and cumulative occurrence rates. However, the diagnostic criteria aren't explicitly stated in the abstract, so this criterion is partially met.",yes,"The study is described as a retrospective analysis using medical records and panoramic X-ray findings, which meets the criterion as it's a retrospective cohort study.",yes,"The study mentions tooth extraction and includes a follow-up period with specific time points (1-, 2-, and 3-year rates), so this criterion is met.",yes,"The study includes 135 patients, which exceeds the minimum requirement of 100 patients, so this criterion is met.",Exclude,"The study involves cancer patients receiving high-dose denosumab, which fundamentally conflicts with the screening criteria requiring an osteoporosis population free from cancer. Critical deviations include the patient population, medication context, and absence of a control group, rendering the study non-compliant with the specified screening requirements. Multiple key criteria were not met, leading to automatic exclusion from the systematic review.",1.4
Evaluation of MRONJ Risk and Associated Factors in Patients Receiving Antiresorptive and/or Antiangiogenic Drug Therapy: A Retrospective Cohort Study,Ömer Ekici,10.5505/tjo.2022.3359,https://doi.org/10.5505/tjo.2022.3359,Turkish Journal of Oncology,0,2022,no,"No information is provided about patient age or osteoporosis diagnosis, so it cannot be confirmed that the study exclusively involves adult patients with diagnosed osteoporosis.",no,"There is no information about cancer or bone metastases exclusion, so it cannot be determined if the population meets this criterion.",no,"The abstract mentions ""antiresorptive drugs"" generally but does not specifically mention Denosumab/Prolia, which creates significant uncertainty about whether this crucial criterion is met.",no,"There is no mention of a control group, so it cannot be determined if the study includes non-medicated patients.",maybe,"MRONJ is clearly the outcome of interest, and the abstract mentions ""routine oral surgical procedures"", but the diagnostic criteria are not specified.",no,"The study design is not explicitly stated, and while it appears to be an observational study, the specific type is unclear.",maybe,"The abstract mentions ""tooth extraction and other dentoalveolar surgical procedures"", but the follow-up period is not specified.",no,"No information is provided about the sample size, so it cannot be determined if the study meets the requirement of over 100 patients.",Include,"The abstract lacks critical details about medication type, subject size, study design, and population characteristics, creating significant uncertainty about meeting the screening criteria. Multiple key elements are missing or undefined, including specific drug type, patient demographics, and control group information. The brevity of the abstract prevents a comprehensive assessment of its alignment with the required screening parameters.",2.7
Risk of Medication-Related Osteonecrosis of the Jaw after Dental Extractions in Patients Receiving Bone Resorption Inhibitors – A Retrospective Study of 240 Patients,"R. Coropciuc, R. Coopman, M. Garip, E. Gielen, C. Politis, T. Van den Wyngaert, B. Beuselinck",10.2139/ssrn.4248587,https://doi.org/10.2139/ssrn.4248587,Social Science Research Network,0,2022,maybe,"While the study likely involves adults, the abstract does not explicitly state the age range of participants.",no,"The study explicitly includes patients with bone metastases (114 patients), which violates this criterion. The study population is mixed between osteoporosis and cancer patients.",maybe,"The abstract mentions ""bone resorption inhibitors"" but does not specifically mention Denosumab/Prolia, which is a significant uncertainty as the study appears to include multiple types of bone resorption inhibitors.",no,"The abstract does not mention a control group of patients not taking anti-resorptive medications, which is a significant limitation.",yes,"The study clearly reports MRONJ incidence with specific percentages and confidence intervals following dental extractions, meeting this criterion.",yes,"The study is described as ""retrospectively studied,"" meeting the criteria for acceptable study designs.",yes,"The study documents dental extractions and includes a median drug exposure period of 43 months, meeting this criterion.",yes,"The study includes 240 patients (126 osteoporosis + 114 bone metastases), meeting the >100 patient requirement.",Include,"The study involves a mixed patient population with bone resorption inhibitors, including both osteoporosis and cancer patients, which deviates from the specified screening criteria. While the research provides comprehensive data on medication-related osteonecrosis of the jaw, it lacks specificity regarding Denosumab and does not include a control group of non-medicated patients. The mixed population and absence of a clear control group represent significant limitations against the predefined screening requirements.",2.7
Osteonecrosis of the jaw in patients treated with denosumab: A multicenter case series.,"Suad Aljohani, R. Gaudin, J. Weiser, M. Tröltzsch, M. Ehrenfeld, G. Kaeppler, R. Smeets, S. Otto",10.1016/j.jcms.2018.05.046,https://doi.org/10.1016/j.jcms.2018.05.046,Journal of cranio-maxillo-facial surgery : official publication of the European Association for Cranio-Maxillo-Facial Surgery,53,2018,maybe,"The mean patient age was 70 ± 9 years, indicating an adult population. However, the abstract doesn't explicitly state that all patients had diagnosed osteoporosis.",no,"The abstract mentions that DRONJ is ""more prevalent at extraction and local infection sites in cancer patients,"" suggesting the study population includes cancer patients, which violates this criterion.",maybe,"The study examines denosumab, but it's not explicitly stated whether it's oral Prolia. However, given the context and patient population, it's likely Prolia rather than Xgeva.",no,The abstract doesn't mention a control group of patients not taking anti-resorptive medications.,yes,The study clearly reports MRONJ incidence with diagnostic criteria and stages following dental procedures.,yes,"The study is a retrospective review, which meets the criteria as a retrospective cohort study.",yes,The study documents dental procedures (specifically mentions extractions) and includes treatment outcomes with follow-up periods.,no,"The study includes 63 patients, which falls below the required minimum of 100 patients.",Include,"The study falls short of multiple screening criteria, including insufficient patient sample size (63 vs. required 100), lack of a control group, and inclusion of cancer patients. While the research provides detailed insights into denosumab-related osteonecrosis of the jaw, it does not meet the comprehensive requirements for systematic review inclusion. Critical methodological limitations prevent the study from satisfying the predefined screening standards.",2.5
