Indication,Medication,Administration,"Invasive dental 
treatment",Summary,Specific,Author,Year,"MRONJ 
case (n)","Subject
number (n)","Percentage
(%)",,PMID,"Study 
type",Full name
osteoporosis,none,none,YES,No AR + dental extraction,,,,2,2030,0.1,,,,
osteoporosis,bisphosphonate,oral,YES,,mixed,Fujimori,2025,30,1763,1.7,,0,"retrospective cohort, 
multi-centered",A multicenter retrospective study of the risk factors associated with medication-related osteonecrosis of the jaw after tooth extraction in patients receiving oral bisphosphonate therapy: can primary wound closure and a drug holiday really prevent MRONJ?
osteoporosis,bisphosphonate,oral,YES,,mixed,Kang,2020,0,406,0,,32158685,retrospective cohort,The effect of bisphosphonate discontinuation on the incidence  of postoperative medication-related osteonecrosis of the jaw after tooth extraction
osteoporosis,bisphosphonate,oral,YES,,Alendronate,Jeong,2025,8,161,4.97,,0,"retrospective cohort, 
multi-centered",A multicenter retrospective study of the risk factors associated with medication-related osteonecrosis of the jaw after tooth extraction in patients receiving oral bisphosphonate therapy: can primary wound closure and a drug holiday really prevent MRONJ?
osteoporosis,bisphosphonate,oral,YES,,Risedronate,Jeong,2025,0,73,0,,0,"retrospective cohort, 
multi-centered",A multicenter retrospective study of the risk factors associated with medication-related osteonecrosis of the jaw after tooth extraction in patients receiving oral bisphosphonate therapy: can primary wound closure and a drug holiday really prevent MRONJ?
osteoporosis,bisphosphonate,oral,YES,,Ibandronate,Jeong,2025,1,20,5,,0,"retrospective cohort, 
multi-centered",A multicenter retrospective study of the risk factors associated with medication-related osteonecrosis of the jaw after tooth extraction in patients receiving oral bisphosphonate therapy: can primary wound closure and a drug holiday really prevent MRONJ?
osteoporosis,bisphosphonate,oral,YES,,Alendronate,Wei,2025,214,519,41.23,,39611589,retrospective cohort,Risk Factors Influencing Medication-Related Osteonecrosis of the Jaws (MRONJ) Following Dental Extraction Among Osteoporotic Patients in Taiwan
osteoporosis,bisphosphonate,oral,YES,oral BP + dental extraction,,,,253,2942,8.6,,,,
osteoporosis,bisphosphonate,oral,YES,oral BP + dental extraction-Wei,,,,39,2423,1.61,,,,
osteoporosis,bisphosphonate,IV/SC,YES,,Zoledronate,Wei,2025,26,172,15.12,,39611589,retrospective cohort,Risk Factors Influencing Medication-Related Osteonecrosis of the Jaws (MRONJ) Following Dental Extraction Among Osteoporotic Patients in Taiwan
osteoporosis,bisphosphonate,IV/SC,YES,"IV BP(Zoledronate) 
+ dental extraction",,,,,,15.12,,,,
osteoporosis,Denosumab,IV/SC,YES,,,Everts-Graber ,2017,3,420,0.71,,28664276,retrospective cohort,"Surgically treated osteonecrosis and osteomyelitis of the jaw and oral cavity in patients highly adherent to alendronate treatment: a nationwide user-only cohort study including over 60,000 alendronate users"
osteoporosis,Denosumab,IV/SC,YES,,,Watts,2019,11,3591,0.31,,30759221,RCT,Invasive Oral Procedures and Events in Postmenopausal Women With Osteoporosis Treated With Denosumab for Up to 10 Years
osteoporosis,Denosumab,IV/SC,YES,,,Colella,2011,10,427,2.34,,21954448,"retrospective cohort, 
matched-subject",Osteonecrosis of the Jaw in Older Osteoporosis Patients Treated with Intravenous Bisphosphonates
osteoporosis,Denosumab,IV/SC,YES,,,Wei,2025,21,376,5.59,,39611589,retrospective cohort,Risk Factors Influencing Medication-Related Osteonecrosis of the Jaws (MRONJ) Following Dental Extraction Among Osteoporotic Patients in Taiwan
osteoporosis,Denosumab,IV/SC,YES,Denosumab + dental extraction,,,,45,4814,0.93,,,,
osteoporosis,Denosumab,IV/SC,YES,Denosumab + dental extraction-Wei,,,,24,4438,0.54,,,,
,,,,,,,,,,,,,,
